,onsets,minutes_seconds,offsets,ls,ls_binary
294,588000,9:48,590000,no,0
295,590000,9:50,592000,no,0
296,592000,9:52,594000,yes,1
297,594000,9:54,596000,yes,1
298,596000,9:56,598000,yes,1
299,598000,9:58,600000,no,0
300,600000,10:00,602000,no,0
301,602000,10:02,604000,no,0
302,604000,10:04,606000,yes,1
303,606000,10:06,608000,yes,1
304,608000,10:08,610000,no,0
305,610000,10:10,612000,no,0
306,612000,10:12,614000,no,0
307,614000,10:14,616000,no,0
308,616000,10:16,618000,yes,1
309,618000,10:18,620000,yes,1
310,620000,10:20,622000,yes,1
311,622000,10:22,624000,yes,1
312,624000,10:24,626000,no,0
313,626000,10:26,628000,yes,1
314,628000,10:28,630000,no,0
315,630000,10:30,632000,yes,1
316,632000,10:32,634000,no,0
317,634000,10:34,636000,no,0
318,636000,10:36,638000,no,0
319,638000,10:38,640000,no,0
320,640000,10:40,642000,yes,1
321,642000,10:42,644000,yes,1
322,644000,10:44,646000,yes,1
323,646000,10:46,648000,no,0
324,648000,10:48,650000,no,0
325,650000,10:50,652000,no,0
326,652000,10:52,654000,no,0
327,654000,10:54,656000,no,0
328,656000,10:56,658000,no,0
329,658000,10:58,660000,no,0
330,660000,11:00,662000,no,0
331,662000,11:02,664000,no,0
332,664000,11:04,666000,no,0
333,666000,11:06,668000,no,0
334,668000,11:08,670000,no,0
335,670000,11:10,672000,yes,1
336,672000,11:12,674000,no,0
337,674000,11:14,676000,no,0
338,676000,11:16,678000,no,0
339,678000,11:18,680000,no,0
340,680000,11:20,682000,no,0
341,682000,11:22,684000,yes,1
342,684000,11:24,686000,yes,1
343,686000,11:26,688000,no,0
344,688000,11:28,690000,no,0
345,690000,11:30,692000,yes,1
346,692000,11:32,694000,yes,1
347,694000,11:34,696000,no,0
348,696000,11:36,698000,no,0
349,698000,11:38,700000,no,0
350,700000,11:40,702000,yes,1
351,702000,11:42,704000,yes,1
352,704000,11:44,706000,no,0
353,706000,11:46,708000,no,0
354,708000,11:48,710000,no,0
355,710000,11:50,712000,no,0
356,712000,11:52,714000,no,0
357,714000,11:54,716000,yes,1
358,716000,11:56,718000,no,0
359,718000,11:58,720000,yes,1
360,720000,12:00,722000,no,0
361,722000,12:02,724000,yes,1
362,724000,12:04,726000,yes,1
363,726000,12:06,728000,no,0
364,728000,12:08,730000,yes,1
365,730000,12:10,732000,yes,1
366,732000,12:12,734000,no,0
367,734000,12:14,736000,yes,1
368,736000,12:16,738000,no,0
369,738000,12:18,740000,yes,1
370,740000,12:20,742000,yes,1
371,742000,12:22,744000,no,0
372,744000,12:24,746000,yes,1
373,746000,12:26,748000,no,0
374,748000,12:28,750000,no,0
375,750000,12:30,752000,no,0
376,752000,12:32,754000,no,0
377,754000,12:34,756000,yes,1
378,756000,12:36,758000,yes,1
379,758000,12:38,760000,no,0
380,760000,12:40,762000,no,0
381,762000,12:42,764000,no,0
382,764000,12:44,766000,no,0
383,766000,12:46,768000,yes,1
384,768000,12:48,770000,no,0
385,770000,12:50,772000,no,0
386,772000,12:52,774000,no,0
387,774000,12:54,776000,no,0
388,776000,12:56,778000,yes,1
389,778000,12:58,780000,yes,1
390,780000,13:00,782000,no,0
391,782000,13:02,784000,no,0
392,784000,13:04,786000,no,0
393,786000,13:06,788000,no,0
394,788000,13:08,790000,no,0
395,790000,13:10,792000,no,0
396,792000,13:12,794000,yes,1
397,794000,13:14,796000,no,0
398,796000,13:16,798000,no,0
399,798000,13:18,800000,no,0
400,800000,13:20,802000,no,0
401,802000,13:22,804000,yes,1
402,804000,13:24,806000,no,0
403,806000,13:26,808000,no,0
404,808000,13:28,810000,no,0
405,810000,13:30,812000,no,0
406,812000,13:32,814000,no,0
407,814000,13:34,816000,yes,1
408,816000,13:36,818000,yes,1
409,818000,13:38,820000,yes,1
410,820000,13:40,822000,no,0
411,822000,13:42,824000,no,0
