,minutes_seconds,ls_binary
0,0:00,0
1,0:02,0
2,0:04,0
3,0:06,0
4,0:08,0
5,0:10,0
6,0:12,0
7,0:14,0
8,0:16,0
9,0:18,0
10,0:20,1
11,0:22,0
12,0:24,0
13,0:26,1
14,0:28,0
15,0:30,1
16,0:32,1
17,0:34,1
18,0:36,1
19,0:38,0
20,0:40,1
21,0:42,1
22,0:44,0
23,0:46,1
24,0:48,1
25,0:50,1
26,0:52,1
27,0:54,0
28,0:56,0
29,0:58,0
30,1:00,1
31,1:02,1
32,1:04,0
33,1:06,0
34,1:08,1
35,1:10,0
36,1:12,1
37,1:14,0
38,1:16,0
39,1:18,0
40,1:20,0
41,1:22,0
42,1:24,1
43,1:26,1
44,1:28,1
45,1:30,1
46,1:32,1
47,1:34,0
48,1:36,0
49,1:38,1
50,1:40,0
51,1:42,0
52,1:44,1
53,1:46,1
54,1:48,1
55,1:50,1
56,1:52,1
57,1:54,1
58,1:56,1
59,1:58,0
60,2:00,0
