episode,n_subjects,n_trs
s04e20a,4,447
s04e20b,4,447
s04e21a,4,448
s04e21b,4,448
s04e22a,4,459
s04e22b,4,459
s04e23a,4,505
s04e23b,4,504
s04e23c,4,504
s04e23d,4,504
s05e01a,4,439
s05e01b,4,474
s05e02a,4,495
s05e02b,4,531
s05e03a,4,444
s05e03b,4,474
s05e04a,4,488
s05e04b,4,524
s05e05a,4,486
s05e05b,4,521
s05e06a,4,459
s05e06b,4,493
s05e07a,4,459
s05e07b,4,493
s05e08a,4,446
s05e08b,4,480
s05e09a,4,456
s05e09b,4,490
s05e10a,4,450
s05e10b,4,484
s05e11a,4,476
s05e11b,3,511
s05e12a,4,445
s05e12b,4,480
s05e13a,4,460
s05e13b,4,494
s05e14a,4,486
s05e14b,4,520
s05e15a,4,443
s05e15b,4,477
s05e16a,4,485
s05e16b,4,519
s05e17a,4,452
s05e17b,4,486
s05e18a,4,501
s05e18b,4,535
s05e19a,4,446
s05e19b,4,480
s05e20a,4,443
s05e20b,4,490
s05e21a,4,444
s05e21b,4,478
s05e22a,4,450
s05e22b,3,484
s05e23a,4,454
s05e23b,4,458
s05e23c,4,458
s05e23d,4,488
s06e01a,4,465
s06e01b,4,499
s06e02a,4,453
s06e02b,4,487
s06e03a,3,439
s06e03b,4,473
s06e04a,4,439
s06e04b,4,474
s06e05a,4,452
s06e05b,4,486
s06e06a,4,443
s06e06b,4,478
s06e07a,4,445
s06e07b,3,479
s06e08a,4,438
s06e08b,4,472
s06e09a,4,504
s06e09b,4,537
s06e10a,4,466
s06e10b,4,500
s06e11a,4,450
s06e11b,4,484
s06e12a,4,435
s06e12b,4,470
s06e13a,4,470
s06e13b,4,504
s06e14a,4,461
s06e14b,3,495
s06e15a,4,456
s06e15b,4,460
s06e15c,4,460
s06e15d,4,490
s06e17a,4,428
s06e17b,4,462
s06e18a,4,435
s06e18b,3,470
s06e19a,4,434
s06e19b,4,468
s06e20a,4,431
s06e20b,4,465
s06e21a,4,460
s06e21b,4,494
s06e22a,4,452
s06e22b,4,486
s06e23a,4,486
s06e23b,4,520
s06e24a,4,457
s06e24b,4,461
s06e24c,4,461
s06e24d,4,490
