episode,n_matched,energy_laugh,energy_nolaugh,base_laugh_rTPJ,base_nolaugh_rTPJ,match_laugh_rTPJ,match_nolaugh_rTPJ,base_laugh_visual_cortex,base_nolaugh_visual_cortex,match_laugh_visual_cortex,match_nolaugh_visual_cortex,base_laugh_auditory_cortex,base_nolaugh_auditory_cortex,match_laugh_auditory_cortex,match_nolaugh_auditory_cortex
s01e02a,194,-24.128651669624073,-24.890449212053994,0.15715056048032655,0.10435835162699174,0.1691818310332948,0.1109039346085191,0.36884174729685687,0.48210338535022806,0.3488629242781714,0.48110828130453775,0.15393062890999498,0.20512854874477945,0.14534850277368436,0.18159163584942442
s01e02b,190,-25.892763778704527,-27.903310135442396,0.09255424830436175,0.10657788503440878,0.09781521088785872,0.13627106197522293,0.3621899318768016,0.4250893081420166,0.3881717966613813,0.3526875053851472,0.22773085017420533,0.181133802592598,0.22236585504198092,0.1403631016889483
s01e03a,181,-26.078426195694146,-30.487854725195767,0.09224646762718153,0.09474575122042268,0.0804565265506658,0.10329254104731717,0.48115880200547084,0.39109333676908026,0.5028638672635448,0.39798218056945833,0.18412569213310956,0.2119493325288431,0.17468044676404992,0.2170390538630568
s01e03b,179,-26.105260981786614,-26.99879989775003,0.09253018725417894,0.13308045686159073,0.10420449683499282,0.1374175915073208,0.3659702500750404,0.4670525705614385,0.37940462709993267,0.47061660447411313,0.25363033704078247,0.13167523629021377,0.295994383176086,0.11982075813933617
s01e04a,228,-24.854200648199683,-24.796188679788376,0.2092539524113153,0.07269635536337553,0.21414469341729972,0.07164591060649725,0.5316156727594344,0.4334625296550245,0.47859488095513614,0.4225770843274888,0.221881605603906,0.22029481008813542,0.2088785056022986,0.22597579099233067
s01e04b,217,-23.634589209788356,-24.774694658153795,0.1381083110426707,0.17160624286094175,0.12285192308488564,0.18749782547460045,0.4540944242880669,0.36980430782748314,0.4768543506469474,0.34569737679567725,0.28314606159564026,0.30626487527266105,0.3054192351607888,0.3061322611584083
s01e05a,237,-26.081454158058545,-27.610489153257348,0.14802215621587986,0.16686690027325135,0.15704038848597432,0.18046926727308812,0.37411826825363814,0.30927916476407347,0.3721003944360688,0.2856027402471885,0.10216810660418778,0.12354675332978192,0.10785264783130899,0.10652548647582744
s01e05b,238,-25.225985234055113,-26.924570905714276,0.11397961954673282,0.17505462650100304,0.11965924620599122,0.1633443154203322,0.37619331634955594,0.37246702516478697,0.3782446383077443,0.3618750958122141,0.18658383351651334,0.18389401140620945,0.193632673878153,0.18633996736261185
s01e06a,199,-25.604233582548773,-28.872892887334586,0.2264478670497362,0.09711745306586596,0.24673231559445383,0.07097491103106975,0.5729910005304173,0.42662417725546725,0.577039684421866,0.41846427530143543,0.3963593970685811,0.2979295258407881,0.41261350407479086,0.29720486796147605
s01e06b,201,-25.8086516052364,-27.991112607029134,0.09878819918640358,0.14787831345767213,0.046049531282852794,0.1760605178929473,0.46569100783018325,0.4815762773855632,0.4434846100527225,0.4452208384394123,0.28525944734585973,0.27154667726714043,0.2741878973653156,0.2775202475701606
