episode,n_subj,fd_laugh,fd_nonlaugh,motion_isc_laugh,motion_isc_nonlaugh,brain_isc_delta,motion_isc_delta
s01e02a,4,0.09826761650891658,0.09687790900216539,0.05408799598841162,0.03250673001637256,0.05372394621372223,0.0216226466811004
s01e02b,4,0.10034327963834246,0.09395395241935542,0.09526562152838754,0.06571572378334019,-0.01416432112455368,0.029744828022516545
s01e03a,4,0.08485863511638586,0.07979133482067151,-0.0006703913069282813,0.05110757402940331,-0.002521336078643799,-0.051822532693665976
s01e03b,4,0.08831115465343665,0.0857902378773482,0.019346289302152816,0.06342174283344634,-0.04107899218797684,-0.04415827929305611
s01e04a,4,0.09699424581232574,0.09416295781171091,0.179242363247452,0.19280921949028806,0.13956615328788757,-0.014053430018665686
s01e04b,4,0.10909670252829236,0.11316889709105768,0.12895020034221108,0.1265458175004402,-0.034324631094932556,0.002444273551133802
s01e05a,4,0.1259575213890444,0.1293990235971015,0.06886770660368229,0.04194431856634658,-0.019324451684951782,0.02700794936157598
s01e05b,4,0.100220119255176,0.09092651662869719,-0.01717714299983639,-0.01899820287685662,-0.062399327754974365,0.0018216563613251482
s01e06a,4,0.10108000335468598,0.0959073985855923,0.004566329136286808,0.1332518563250295,0.13301756978034973,-0.12948268163457316
s01e06b,4,0.07264829844368709,0.06994586848605693,-0.03556064849046424,0.007690961719436444,-0.04985910654067993,-0.043266762762313685
s01e07a,4,0.099672022022531,0.09766119572368369,-0.010153341559741584,-0.008595889906758995,-0.07378782331943512,-0.0015575888541768685
s01e07b,4,0.1178913559025128,0.10428908577610767,0.03717254834462917,0.01422719391568436,0.09367604553699493,0.02296153025368393
s01e08a,4,0.09835670153801467,0.10009927156110632,0.14132256656631462,0.11362828505901858,-0.037179961800575256,0.02815369708226162
s01e08b,4,0.11740994681744099,0.10378840621419293,0.06018372557460366,-0.010763320830213181,0.027471482753753662,0.07102028383883063
s01e09a,4,0.10846415118369966,0.10221688920465699,0.06650085294070905,0.04822438878978972,-0.11696232855319977,0.01833731974216149
s01e09b,4,0.09764209776255016,0.10398215015073856,0.10884146017997527,0.07229695135011943,0.05560213327407837,0.03685102705011625
s01e10a,4,0.10287855732376976,0.09752504104710392,0.08770131519807901,0.042871176911289215,-0.007397517561912537,0.04502974000079739
s01e10b,4,0.11293324780973538,0.10093683202038393,0.10492218606724957,0.16772778057023494,-0.05877619981765747,-0.0640179816678843
s01e11a,4,0.14600914898432413,0.12469065911915661,-0.028382562580455656,-0.019383957068288476,-0.012878060340881348,-0.009003802267786631
s01e11b,4,0.1276812391931267,0.1210054250616592,-0.026120198819044208,-0.00015078356469726273,0.00048667192459106445,-0.02597535798339217
s01e12a,4,0.0887187440654189,0.08583236483948976,0.1365863418603627,0.13447096313764048,-0.06496886909008026,0.0021549619614887883
s01e12b,4,0.10321142423898175,0.10455722631442395,0.10517295098095569,0.05655396434334376,-0.05419495701789856,0.048948956621596436
s01e13a,4,0.10769038907605785,0.09543839848216439,0.009329629004556575,0.04003083387135628,-0.07216288149356842,-0.03072233745106101
s01e13b,4,0.08778952666744765,0.08909972062017843,-0.012682365928616554,0.023418570311767677,0.12378460168838501,-0.03610589881381952
s01e14a,4,0.12807204260974553,0.10961508875668441,0.033287074752418266,0.10753099624697039,0.0347466915845871,-0.07464897558938992
s01e14b,4,0.09299922191274675,0.09795420423553401,0.11525203221744683,0.08102415196919494,-0.10659818351268768,0.03456427779932042
s01e15a,4,0.10129387554399492,0.10217761979438779,0.1592351500105924,0.11264770443480558,0.06659609824419022,0.047474003323667247
s01e15b,4,0.10808180998726988,0.08952175012552015,-0.0013018810850718664,0.023357881863606923,0.0022428929805755615,-0.0246640130226013
s01e16a,4,0.10681889482144914,0.10408463840804183,0.11958945793496419,0.09454618764973088,-0.02491948753595352,0.025335085100830226
s01e16b,4,0.1363784578827679,0.13368207514446,0.03497595626720631,0.06150632675163333,0.05279531329870224,-0.02659383435466524
s01e17a,4,0.08682238275695925,0.08040881709633703,0.020100625717716803,0.1163109817552816,-0.04757793992757797,-0.09673644159649897
s01e17b,4,0.07852801954615567,0.0751828522247973,0.10687836930482984,0.07694994819178846,0.08457177877426147,0.030185766975733094
s01e18a,4,0.09880555263125117,0.08927499321625337,0.10300167728041458,0.13781697230391296,-0.01572275161743164,-0.035331322006409
s01e18b,4,0.12278525210824817,0.11956109464320926,0.013064025781268834,0.07812080917725098,-0.07422690838575363,-0.06521554472412652
s01e19a,4,0.1186774635872437,0.11753539799941207,-0.0035763565560144525,0.03515343309290711,-0.03752593696117401,-0.038744296090131414
s01e19b,4,0.10100540306084312,0.0946181456496111,0.01972834661564082,0.039077998939897406,-0.07350581884384155,-0.019367002371576687
s01e20a,4,0.07434584467386694,0.07927052938181667,0.07377605865207873,0.035672922200907724,0.024889156222343445,0.038222283844588124
s01e20b,4,0.11348487616656804,0.11689452000168472,0.06388123316303211,0.11893678425073795,0.0007449239492416382,-0.05553407555568779
s01e21a,4,0.12453768987966583,0.12295294382925338,0.04177457658148509,0.0599920631951505,-0.03587251901626587,-0.01826528790319587
s01e21b,4,0.1323801855762631,0.12103035093057375,0.05663100980950555,0.08040023453182223,-0.09119236469268799,-0.023882484107082998
s01e22a,4,0.09071861614959273,0.10157506983185803,0.007493349793196033,0.04892593003059582,-0.08506452292203903,-0.04147153490683745
s01e22b,4,0.0783741858728198,0.07137940669207987,0.08859691789891629,0.22228575255837615,-0.011287927627563477,-0.1372295663783853
s01e23a,4,0.12113358349201368,0.11327144095592126,0.14997361631124792,0.07540378447585415,-0.11651219427585602,0.07556626253376007
s01e23b,4,0.11809287696088368,0.10449498315104304,0.03440598575272679,0.05468684385861125,0.0234290212392807,-0.02032188662843812
s01e24a,4,0.10708667221377675,0.10888681963965496,0.06664438707320289,0.06730835597794065,0.027614250779151917,-0.0006669608053680998
s01e24b,4,0.10375079488428127,0.09967928474675634,0.0647001767818597,0.07926908802073084,-0.0039367228746414185,-0.014645063281357312
s02e01a,4,0.09866598662512967,0.08058186965789509,0.11911276887202761,0.24617141411213417,0.28635096549987793,-0.1316521979800535
s02e01b,4,0.103898165412541,0.09386403712312232,0.0640028184352034,0.003952990234740296,-0.05587682127952576,0.0601374159145899
