modality,roi,n,delta_base,t_base,p_base,delta_match,t_match,p_match,attenuation_pct
audio,rTPJ,278,0.006666092746918131,1.430881641629492,0.1535912925151581,0.012110200248798317,2.6080544245711246,0.009599839242225247,-81.6686432152794
audio,visual_cortex,278,-0.03423587128291746,-5.87523870790593,1.2085614454017406e-08,-0.026209880812496655,-4.791305934123924,2.7048254312478723e-06,23.443219552076954
audio,auditory_cortex,278,-0.005067190287446648,-1.095894347215193,0.27407689367552224,0.01051742952728065,2.5052392092316125,0.012811134074231373,307.5593954570112
visual,rTPJ,278,0.006666092746918131,1.430881641629492,0.1535912925151581,0.004384711229698782,0.9320164553902982,0.35213964350595506,34.22366900421656
visual,visual_cortex,278,-0.03423587128291746,-5.87523870790593,1.2085614454017406e-08,-0.03197132076559639,-5.728906197867524,2.631701747370131e-08,6.614554946206397
visual,auditory_cortex,278,-0.005067190287446648,-1.095894347215193,0.27407689367552224,-0.005311559980175745,-1.1475491160484868,0.2521448911967781,-4.822587644566911
