episode,n_matched,energy_laugh,energy_nolaugh,base_laugh_rTPJ,base_nolaugh_rTPJ,match_laugh_rTPJ,match_nolaugh_rTPJ,base_laugh_visual_cortex,base_nolaugh_visual_cortex,match_laugh_visual_cortex,match_nolaugh_visual_cortex,base_laugh_auditory_cortex,base_nolaugh_auditory_cortex,match_laugh_auditory_cortex,match_nolaugh_auditory_cortex
s01e02a,197,11.691508769989014,10.129559325135272,0.15715056048032655,0.10435835162699174,0.14526873979257424,0.10561542479098573,0.36884174729685687,0.48210338535022806,0.34713774898130567,0.4892089953717093,0.15393062890999498,0.20512854874477945,0.20106848439774025,0.21309574591990685
s01e02b,215,8.330285695128971,8.915264181944789,0.09255424830436175,0.10657788503440878,0.09599540075959472,0.11934823435165381,0.3621899318768016,0.4250893081420166,0.3536721911761957,0.40167834467477803,0.22773085017420533,0.181133802592598,0.21005148252384517,0.16919064358391922
s01e03a,179,10.939992771882277,11.97254335564911,0.09224646762718153,0.09474575122042268,0.10769885872105626,0.09962972761144939,0.48115880200547084,0.39109333676908026,0.48540611049657273,0.3962734665247301,0.18412569213310956,0.2119493325288431,0.22019752808792506,0.2209598886855861
s01e03b,183,11.392068493182842,10.880824801728533,0.09253018725417894,0.13308045686159073,0.06496645992971256,0.14032065223404674,0.3659702500750404,0.4670525705614385,0.3472421528228769,0.46527347593772017,0.25363033704078247,0.13167523629021377,0.22024935426929418,0.12917972253091745
s01e04a,228,11.66909927086079,10.477351888269187,0.2092539524113153,0.07269635536337553,0.20403141657257348,0.07304437824437791,0.5316156727594344,0.4334625296550245,0.5066945459477298,0.43859957953986645,0.221881605603906,0.22029481008813542,0.20537700885740232,0.2208209237251327
s01e04b,223,11.25496694904929,9.985031772099557,0.1381083110426707,0.17160624286094175,0.12435253789760181,0.14856652900117426,0.4540944242880669,0.36980430782748314,0.4610627737551478,0.34940324930199856,0.28314606159564026,0.30626487527266105,0.2792383125659958,0.3195056188578458
s01e05a,227,11.570128141288404,11.060736153486783,0.14802215621587986,0.16686690027325135,0.16289802614659366,0.1483401999092441,0.37411826825363814,0.30927916476407347,0.39393595147593224,0.30470544706990915,0.10216810660418778,0.12354675332978192,0.10409830323500958,0.12718563773298341
s01e05b,220,11.411355375343899,9.415828901052475,0.11397961954673282,0.17505462650100304,0.10395793641503188,0.1841145873995659,0.37619331634955594,0.37246702516478697,0.3733822660734977,0.3897765210527595,0.18658383351651334,0.18389401140620945,0.14129362620255584,0.14765530718579076
s01e06a,207,11.364719805070909,8.615212584195072,0.2264478670497362,0.09711745306586596,0.22275432420738842,0.07937907056532559,0.5729910005304173,0.42662417725546725,0.5764621464050257,0.4325869138764961,0.3963593970685811,0.2979295258407881,0.4053207313763783,0.28349904437140644
s01e06b,236,10.640834170829207,10.728753302713764,0.09878819918640358,0.14787831345767213,0.10216103760945966,0.14162818410986436,0.46569100783018325,0.4815762773855632,0.45873232844396367,0.4909650286939913,0.28525944734585973,0.27154667726714043,0.2762612064719426,0.2734025713026626
s01e07a,223,6.263560508092245,6.517030896666722,0.1809511191342442,0.2512566430727445,0.182724331350029,0.24685397571249282,0.4474242073075205,0.48520706511144734,0.436429001634775,0.4873576444371876,0.14891518008062332,0.13516989967911286,0.13676849866472232,0.13727712518491533
s01e07b,200,7.269460016326048,6.625429690024103,0.19595328878602455,0.10446217446490802,0.18556764813752458,0.1117516553983497,0.3429883033408317,0.4626952106485982,0.331807655887555,0.481073790624236,0.23501803886331465,0.22122144388883,0.20150448165431864,0.2138222268750263
s01e08a,223,11.233850545617713,10.573860174038385,0.17222743873850357,0.20805862207651996,0.16951613438957144,0.19724397288116147,0.48761727855568743,0.48941936807986,0.46065935973463495,0.5023945495403396,0.2142248958414331,0.09276786177866614,0.20322828401615875,0.10205175708943327
s01e08b,229,9.665700868968004,9.584763860001283,0.18157161658710586,0.15487949044884042,0.18824276760559203,0.16002716647807344,0.40798208309150436,0.421932432786359,0.3871656022990953,0.4120001384112724,0.1428424111778986,0.15045396582828038,0.13540892400624396,0.14550213528417213
s01e09a,231,12.448426650654186,12.683369390010833,-0.009622384487062555,0.10692928119827495,0.012142605843141197,0.0918268754013603,0.2178207060277181,0.19098674609437613,0.2070116856020603,0.19810083191554073,0.17066027448267962,0.14862121836612427,0.14099262641257854,0.1322961819801651
s01e09b,167,9.86225215425858,9.272985171415135,0.18457552373590658,0.13036717888915791,0.1847443673551288,0.13036717888915791,0.4355236681255458,0.5275442778066264,0.3689211602732803,0.5275442778066264,0.21055754114861958,0.28599880804479094,0.21709380382383037,0.28599880804479094
s01e10a,250,11.244608258301357,11.324711735049883,0.13019493113103534,0.13745999585574883,0.1332562275478513,0.14195805618243282,0.37732231818782275,0.3663418305671931,0.3487646809329794,0.35187686125809375,0.20237798571029839,0.1479029403467236,0.18938909179933036,0.15055106676413124
s01e10b,240,11.681324331760406,10.58337644883144,0.17195968832653533,0.2283628009431851,0.1329558175981476,0.22149069672504673,0.349364648324312,0.3320132280552716,0.3675851280712219,0.3301828382946053,0.18544415074251533,0.18097853625801666,0.16866941313946757,0.18106675103398043
s01e11a,200,9.03377527036007,8.928313558541456,0.24827636292413957,0.2603213436790192,0.218552570937145,0.2668061055537052,0.3376304400673589,0.3965922653998946,0.3331440746027274,0.39945803851811784,0.11474196894079387,0.17401964929858127,0.10078551454752989,0.17723941375810495
s01e11b,243,9.575228078844342,9.762112738726273,0.16995520237641512,0.1694825546688136,0.16115802659755984,0.1754181458767543,0.2736288863100853,0.3271811428133034,0.2163817051055882,0.3255542825976859,0.17642463283824994,0.17555384596540394,0.15850760379801765,0.18216989904168465
