metric,laugh,nonlaugh,delta,t,p,n
FD (mm),0.11787785010849743,0.1101526014411101,0.00772524866738733,16.374049169812334,1.297927140387403e-42,278
motion-ISC (r),0.0626246654053715,0.07953003978481271,-0.016989993759167574,-5.167346221943661,4.5492756412808897e-07,278
