roi,label,n,mean_isc_laugh,mean_isc_nolaugh,mean_delta,t_stat,p_val,sig
rTPJ,rTPJ,278,0.178278386592865,0.17181648313999176,0.006666089873760939,1.4308809476939905,0.1535914912670316,ns
visual_cortex,LOC / Visual,278,0.41480743885040283,0.4427555799484253,-0.0342358835041523,-5.875239715321303,1.2085549110450365e-08,***
auditory_cortex,Auditory Cortex,278,0.23265975713729858,0.23744702339172363,-0.005067188758403063,-1.095894007566058,0.27407704206821537,ns
dorsal_str,Dorsal Striatum,278,0.06595369882409897,0.06514732555434813,0.0008098529707511633,0.23427357225226644,0.8149456648621067,ns
ventral_str,Ventral Striatum,278,0.04131765451511985,0.04170083479932836,-0.0003838416359334084,-0.11881023377601116,0.9055118155166714,ns
