roi_idx,label,delta_r,t,p,p_fdr,sig
0,7Networks_LH_Vis_1,-0.002747989,-0.7712837931316183,0.4411961596847984,0.5397099945262515,ns
1,7Networks_LH_Vis_2,-0.017168373,-3.660165925534286,0.00030176083257036073,0.0008723170286067571,***
2,7Networks_LH_Vis_3,0.01084989,3.011770886398523,0.0028371300275796237,0.00682090726534312,**
3,7Networks_LH_Vis_4,-0.0027946513,-0.6469108354125654,0.5182253455141917,0.613312564874594,ns
4,7Networks_LH_Vis_5,0.012675425,2.4361690464217496,0.015474174468172498,0.030948348936344995,*
5,7Networks_LH_Vis_6,-0.027789857,-5.533350775308575,7.278730774392446e-08,3.6464321161034004e-07,***
6,7Networks_LH_Vis_7,-0.047944915,-9.745759968618582,1.7331479101692282e-19,3.650221721009476e-18,***
7,7Networks_LH_Vis_8,0.0039972444,0.7762166924975283,0.43828331124238007,0.5383693622694036,ns
8,7Networks_LH_Vis_9,-0.034862872,-6.777457106114661,7.346368619978298e-11,5.054301610545069e-10,***
9,7Networks_LH_Vis_10,-0.023694845,-4.1497970148098196,4.432116471628405e-05,0.00014754658705550046,***
10,7Networks_LH_Vis_11,-0.019221824,-3.9427280529671225,0.00010210259033645221,0.00032223202821779414,***
11,7Networks_LH_Vis_12,-0.009019332,-1.655498412057011,0.09895587816900131,0.15615056004649747,ns
12,7Networks_LH_Vis_13,0.007422423,1.9386533118143987,0.05355925405423471,0.09166359897839173,ns
13,7Networks_LH_Vis_14,-0.024180103,-4.792609776161584,2.6886416117030266e-06,1.0713043024237543e-05,***
14,7Networks_LH_Vis_15,-0.019308027,-4.338292086185797,2.0136994800890164e-05,6.981002919424816e-05,***
15,7Networks_LH_Vis_16,-0.012362998,-2.8524723908629346,0.004664942172895318,0.010650929916876035,*
16,7Networks_LH_Vis_17,-0.012392141,-2.5262988156808053,0.012084602226477488,0.02484324601140392,*
17,7Networks_LH_Vis_18,-0.01974725,-4.586337325303944,6.838945223741425e-06,2.575836303248595e-05,***
18,7Networks_LH_Vis_19,0.004350485,1.1839045907704868,0.23746577434558375,0.32330432602195575,ns
19,7Networks_LH_Vis_20,-0.0068210363,-2.3096719629769815,0.02164182979031447,0.04113143341363634,*
20,7Networks_LH_Vis_21,0.0045718225,0.7964361701579851,0.42646061439906013,0.5264442034208493,ns
21,7Networks_LH_Vis_22,0.0023880904,0.8411009932685833,0.40101684900320766,0.5022444031205222,ns
22,7Networks_LH_Vis_23,-0.0013492252,-0.285247733614459,0.7756675183275896,0.837331463299239,ns
23,7Networks_LH_Vis_24,-0.012679679,-2.708452412634615,0.007180582109647253,0.015600759446644137,*
24,7Networks_LH_Vis_25,-0.00087437016,-0.2336263169696251,0.815447657028848,0.8684643777644697,ns
25,7Networks_LH_Vis_26,-0.0030750632,-0.7371898336623982,0.4616308706243798,0.5585029993954982,ns
26,7Networks_LH_Vis_27,-0.004174246,-0.8607719348368118,0.3901081025804861,0.49096531934519716,ns
27,7Networks_LH_Vis_28,-0.013010994,-2.987996760389756,0.003059812855662253,0.007259142223088379,**
28,7Networks_LH_Vis_29,-0.008051714,-1.5002272972442179,0.13469444524783625,0.20174842887629466,ns
29,7Networks_LH_Vis_30,-0.011110007,-2.598525118468288,0.009863746635494662,0.02094523976919854,*
30,7Networks_LH_Vis_31,-0.0011313147,-0.3949936968721706,0.6931515253626728,0.7675240066247621,ns
31,7Networks_LH_Vis_32,8.883716e-05,0.02622574452368955,0.9790961651894308,0.989644703697838,ns
32,7Networks_LH_Vis_33,-0.02069505,-3.873037101606378,0.00013418170091266415,0.0004121295099460399,***
33,7Networks_LH_Vis_34,0.004763099,0.9677436559780227,0.33401659200860334,0.4308814036910983,ns
34,7Networks_LH_Vis_35,-0.0062518744,-1.3131492759246572,0.19021940175040755,0.2689129076800282,ns
35,7Networks_LH_Vis_36,-0.00806553,-1.431076195585401,0.1535355775643683,0.22419578357507314,ns
36,7Networks_LH_Vis_37,0.0046535432,1.4931804670676607,0.13652808475603043,0.20331455045919683,ns
37,7Networks_LH_Vis_38,0.0063432995,1.7192832998197847,0.08667991034735074,0.13847316947130955,ns
38,7Networks_LH_Vis_39,-0.003067336,-0.5615963599515903,0.5748451439341185,0.6629586717899307,ns
39,7Networks_LH_Vis_40,-0.00883009,-1.8447530857249204,0.06614097106872303,0.11044900023126565,ns
