measure,region,beta_some,t_some,beta_full,t_full,t_full_vs_some,p_full_vs_some
rms,rTPJ,0.25339366772250893,10.942613703625037,0.35108023703045294,15.869376109495239,3.210302257703706,0.0014820889761049494
rms,visual_cortex,0.5414767794562221,18.64905984235274,0.4447391886242495,15.254411669575077,-2.4470179638244054,0.01502588660170978
rms,auditory_cortex,-0.44861693790347323,-18.820993714911786,-0.3589387432442297,-14.427252143352282,2.9517428590005244,0.003430380285969788
rms,dorsal_str,0.1546010608162553,10.856804935302538,0.26270435273647147,19.84472225493892,5.795279316302386,1.8523151838464764e-08
rms,ventral_str,0.017806634335477838,1.4901800116091575,0.08061985211148452,7.219361608349933,3.8117503249792994,0.00017007806015066363
prob,rTPJ,0.23681383367443948,12.04831065292792,0.3369665040057289,16.05226240959638,3.788770346314572,0.00018574413288506664
prob,visual_cortex,0.4731723083320222,18.513743764281855,0.5169251991868478,18.870217565344813,1.2259603570913469,0.22125481846723566
prob,auditory_cortex,-0.23359479520536727,-10.796051601126466,-0.5695483810552319,-23.736001303325963,-12.708089730591919,1.8443783652376886e-29
prob,dorsal_str,0.16425301069152534,13.722803078732623,0.24287762816006572,18.257632435935555,4.626955922617208,5.704886675478025e-06
prob,ventral_str,0.017358611108878787,1.576824015872315,0.07155666524879599,6.563576964344641,3.485260867962458,0.0005714098275124601
humor,rTPJ,0.2538011712558971,11.6654701953504,0.31257370358404607,16.67098244908216,2.3652830428298794,0.018705455428831532
humor,visual_cortex,0.5012843514392433,17.660461138110023,0.4889002765947946,21.345572982110408,-0.3894260867837548,0.6972601994858725
humor,auditory_cortex,-0.2826675910504514,-12.262027516193168,-0.5067554227564955,-25.846968502917388,-9.437311070410077,1.6349883898906452e-18
humor,dorsal_str,0.14718498704946997,11.509416112566385,0.2507974391687279,21.289081411262632,6.681434507081586,1.295241750178992e-10
humor,ventral_str,-0.020002313121288275,-1.8090833757105067,0.09190025025334447,9.41121483415978,8.215068271971234,8.185815301920906e-15
