season,n,isc_laugh,isc_nolaugh,isc_delta,isc_t,isc_p,glm_beta,glm_t,glm_p,frac_isc_pos
1,46,0.1433819979429245,0.15403158962726593,-0.010890119709074497,-1.155707053580659,0.2539004613361797,0.20481136441230774,5.411801485788688,2.309258241287945e-06,0.3695652173913043
2,48,0.19531969726085663,0.18044699728488922,0.015416031703352928,1.238600068220954,0.22164425800246887,0.2503412663936615,7.283834621770074,3.0378425620471204e-09,0.5625
3,50,0.17256784439086914,0.18060466647148132,-0.008295346051454544,-0.6647360080347204,0.5093358725046152,0.24359802901744843,7.453717396488614,1.3190774075038663e-09,0.42
4,44,0.1806580275297165,0.15031087398529053,0.03119422122836113,2.860258402024303,0.006507934212391365,0.2605328857898712,7.066979417244623,1.0294044546968935e-08,0.7272727272727273
5,46,0.19321087002754211,0.18743672966957092,0.005991083104163408,0.5256963894857726,0.6016802823681435,0.3747306764125824,8.843489743112544,2.1106033040515435e-11,0.5
6,44,0.18433207273483276,0.17596881091594696,0.00864364579319954,0.8270027392051834,0.4128013791690863,0.36463356018066406,9.543320558490768,3.4978685062644236e-12,0.5227272727272727
