episode,season,category,beta_rTPJ,beta_visual_cortex,beta_auditory_cortex,beta_dorsal_striatum
s01e02a,1,Language,0.011080026600366416,0.4348770831044873,0.11035169371322917,-0.25517790587145156
s01e02a,1,Logic,0.02703395581439394,0.45220194324211616,-0.18705531885026971,0.07485516130517872
s01e02a,1,Identity,-0.6223858827788021,-0.8795625153213313,0.40901587258619965,0.16964027137523047
s01e02b,1,Language,-0.063876287244468,-0.01296878499141016,-0.5702783165593348,0.17992175129380877
s01e02b,1,Logic,-0.12855850207181194,0.22765917371539068,0.08850907628735334,0.038840521213109255
s01e02b,1,Identity,-0.8335733758173884,-0.2650564622981125,0.3471564517106327,-0.17219726095222843
s01e03a,1,Language,-0.03200905586957545,-0.04809112406149427,0.12814554652094476,0.1992391165594426
s01e03a,1,Logic,-0.31744808872343233,-0.31196976793551384,-0.41476091547716976,-0.06957369178164874
s01e03a,1,Identity,-0.2813424912976959,0.377382763784243,-1.053474553473826,-0.17797639914754226
s01e03b,1,Language,-0.15438484704116764,-0.3869003186191107,-0.06660664776660347,-0.5335330515111273
s01e03b,1,Logic,-0.2587078409505391,0.1767740905727204,0.34322560442166705,-0.060518149061341585
s01e03b,1,Identity,0.9776840585008177,-0.32865933542356013,-0.2755355606006191,-0.6319804667329483
s01e04a,1,Language,-0.8532857376617566,0.22384148477306043,0.6769990093701568,-0.16311426734196158
s01e04a,1,Logic,-0.10898969738057548,-0.15747435476846927,0.10628618747112743,-0.04197454050144067
s01e04b,1,Language,-0.23683183613413183,-0.6854060849027002,0.0078039574301162,0.11794336326960661
s01e04b,1,Logic,0.23411164495499065,0.23357933565948796,0.4697805594864216,0.09677129276178194
s01e04b,1,Identity,-0.21183506980654038,-0.7115503680130043,0.2140034854117716,-0.5144367247558604
s01e05a,1,Language,1.026019407705994,-0.016505656189808537,0.30562493422936043,0.35774773055332654
s01e05a,1,Logic,-0.05015613601892865,0.09364404921353979,0.33577334317961727,0.14421540398824106
s01e05a,1,Identity,-0.473667060064375,-0.8038690174586485,-0.33837873202014895,-0.09986554794548419
s01e05b,1,Language,-0.5712420217521139,0.3964235466091127,0.19354850400679452,-0.11910547415615416
s01e05b,1,Logic,0.23752665692721375,0.3251258106976922,-0.1490632387683374,-0.09172434755328093
s01e05b,1,Identity,0.2811287497823734,-0.5065679718498117,0.4248239149564864,0.015578507355567761
s01e06a,1,Language,0.1237383282575976,-0.5293274988761374,0.22746787396665302,-0.1551254261014402
s01e06a,1,Logic,-0.4879810163571581,-0.4010737660123909,-0.2552602794663513,-0.3012506952041031
s01e06a,1,Identity,-0.5670128434826214,-2.0302735776774252,0.17896105029899906,-0.5957779480928598
s01e06b,1,Language,-0.02475809189163833,-0.5804811389485922,-0.21307230722970683,0.1318338676147936
s01e06b,1,Logic,-0.05643215720100095,0.5061015080785026,-0.05183493435681248,-0.09830688137585736
