roi_idx,label,beta,t,p,p_fdr,sig
0,7Networks_LH_Vis_1,0.3219795119531114,26.955335751102844,2.0784504401478034e-79,2.8599478056433776e-78,***
1,7Networks_LH_Vis_2,0.463864580069232,31.29449333514844,6.17737306502158e-93,2.5795758707572194e-91,***
2,7Networks_LH_Vis_3,0.2309372242318011,17.988698598285158,1.833705548010069e-48,5.734497350140579e-48,***
3,7Networks_LH_Vis_4,0.4679631498030725,29.5754798461188,1.0642201497457616e-87,3.13792912725036e-86,***
4,7Networks_LH_Vis_5,0.3156290755587428,19.822982861250402,4.6944919371544214e-55,1.781145470273295e-54,***
5,7Networks_LH_Vis_6,0.40253372457061576,27.79309503794464,4.228544969319512e-82,8.2336951100712e-81,***
6,7Networks_LH_Vis_7,0.21728817352150906,16.012582959869473,2.6545895944543913e-41,6.848841153692329e-41,***
7,7Networks_LH_Vis_8,0.4947599343895982,26.99831570075392,1.5091320016605112e-79,2.1334578434433527e-78,***
8,7Networks_LH_Vis_9,0.4139190235200034,27.25150906874163,2.3005978956621056e-80,3.7097141067551455e-79,***
9,7Networks_LH_Vis_10,0.546586759965484,31.19372701965146,1.2397518526335278e-92,4.7386070811770395e-91,***
10,7Networks_LH_Vis_11,0.49719468757702473,27.272700076359044,1.966206287105959e-80,3.2208331560211903e-79,***
11,7Networks_LH_Vis_12,0.3675841270963438,24.631406356261603,9.57348663971234e-72,7.967611461438011e-71,***
12,7Networks_LH_Vis_13,0.42884322026769917,26.956994628246193,2.052921864712026e-79,2.8599478056433776e-78,***
13,7Networks_LH_Vis_14,0.38677437526039304,25.119813749996265,2.222691496810171e-73,2.048051450632229e-72,***
14,7Networks_LH_Vis_15,0.1553611043918643,14.179915334590964,1.0968269139231344e-34,2.383000789828789e-34,***
15,7Networks_LH_Vis_16,0.31110484504276786,21.197327700268698,6.3139812560353e-60,2.921985944497054e-59,***
16,7Networks_LH_Vis_17,0.4452806969633989,26.623605537334978,2.4776018040066645e-78,3.2365633692846556e-77,***
17,7Networks_LH_Vis_18,0.06882798376468127,6.780389176299643,7.219632531460938e-11,9.56439123551693e-11,***
18,7Networks_LH_Vis_19,0.2740217575406194,22.527645522175003,1.4347107502218732e-64,8.271628459379739e-64,***
19,7Networks_LH_Vis_20,0.1393479443123937,13.643975181568926,9.034329041825697e-33,1.8873335164299836e-32,***
20,7Networks_LH_Vis_21,0.3883564048720444,22.325133933734975,7.22178161616739e-64,3.985496592451737e-63,***
21,7Networks_LH_Vis_22,0.20985185884928273,20.38641315168612,4.63762168141828e-57,1.9455388517169367e-56,***
22,7Networks_LH_Vis_23,0.33369439412525254,20.21014299863538,1.961057023958891e-56,7.874750384146208e-56,***
23,7Networks_LH_Vis_24,0.28942551667243865,23.09464340273367,1.591065097539446e-66,9.95138897370126e-66,***
24,7Networks_LH_Vis_25,0.2437153382907496,19.440896708013923,1.0897395012334602e-53,4.016468447403325e-53,***
25,7Networks_LH_Vis_26,0.26392893747804674,18.847738730028627,1.4650078978593647e-51,5.1077302384826495e-51,***
26,7Networks_LH_Vis_27,0.19087614165422792,14.397559392645013,1.815044527087256e-35,4.054385177389715e-35,***
27,7Networks_LH_Vis_28,0.10502341829039492,9.950634375030333,3.831075753627029e-20,6.063911315556892e-20,***
28,7Networks_LH_Vis_29,0.4754052258074368,27.149723100616196,4.895743385518755e-80,7.772934113623623e-79,***
29,7Networks_LH_Vis_30,0.22818404369247933,19.003630387428128,4.032004426100744e-52,1.4153158393659754e-51,***
30,7Networks_LH_Vis_31,0.16704062227142716,14.512863126293007,6.987762290994854e-36,1.5779804560846147e-35,***
31,7Networks_LH_Vis_32,0.21497861686786993,18.44926102944035,3.987764710308707e-50,1.3232711193050114e-49,***
32,7Networks_LH_Vis_33,0.30882028931503797,22.92350257708558,6.169016717086401e-66,3.7895388404959317e-65,***
33,7Networks_LH_Vis_34,0.47986380515839566,29.083083192703462,3.601657809909059e-86,1.0045705026557158e-84,***
34,7Networks_LH_Vis_35,0.439592026150019,26.891534207907586,3.344112071637129e-79,4.540952181486206e-78,***
35,7Networks_LH_Vis_36,0.4237914302686766,23.233185755537864,5.3245344219407886e-67,3.434324702151809e-66,***
36,7Networks_LH_Vis_37,0.2718176821795397,22.169323936691494,2.5114248414363806e-63,1.3291233006986383e-62,***
37,7Networks_LH_Vis_38,0.27841313197710393,21.177084111734477,7.439439450343772e-60,3.4274560324798094e-59,***
38,7Networks_LH_Vis_39,0.45795388841106904,27.68937592852301,9.064623316098985e-82,1.7008529567662097e-80,***
39,7Networks_LH_Vis_40,0.29950267422462723,23.162614947862284,9.296721173213632e-67,5.922355710343498e-66,***
