episode,season,n_laugh_trs,n_nolaugh_trs,isc_laugh_dorsal_str,isc_nolaugh_dorsal_str,isc_laugh_ventral_str,isc_nolaugh_ventral_str
s01e02a,1,300,207,0.022494940258153986,-0.024541898058820063,0.014309990120319966,0.004287992248494581
s01e02b,1,225,294,0.0010634529978320506,0.06384905337185327,0.032172268394326506,0.05074908607227566
s01e03a,1,325,189,0.044003459652738,0.05388546678147094,0.007230971289549123,-0.001591327589987605
s01e03b,1,325,185,-0.008571986677732442,0.0393648825289819,0.008847863027220992,-0.0028998323011846013
s01e04a,1,273,240,0.06971374799421853,0.03419094073138529,0.0025145723125739317,-0.06876485893671523
s01e04b,1,279,244,0.027230901310731737,0.02753005266871115,-0.01324907344674442,-0.07636073190868901
s01e05a,1,270,246,0.07396163125858697,0.0232124867463077,0.08806001692247667,0.0931246739340032
s01e05b,1,265,250,0.007183484840268528,-0.042928786741242696,0.003543198187949246,-0.024157804818121385
s01e06a,1,295,219,0.14543451275334437,0.19267779180311462,0.02652830937991434,0.09999723995401516
s01e06b,1,263,263,0.028066450563724213,0.02284126954261667,0.023911178646366243,-0.004590087626549656
s01e07a,1,300,234,0.016093289396655133,0.10223881008407203,0.07360217871913254,0.05932703022946403
s01e07b,1,320,213,0.024936588590452616,0.040580135924485276,0.06375838391957707,0.06067822925228849
s01e08a,1,238,283,0.025748203059301502,0.07149114534036492,0.018735495203367255,0.0414323476384321
s01e08b,1,264,238,0.10526130498212787,0.11413670804298263,0.07114864923777213,0.10607338274519508
s01e09a,1,275,250,0.0033304942417874245,0.046998912709677765,0.020926973903048474,0.061721225240973336
s01e09b,1,325,167,0.04871101505482523,0.06356321426011952,0.03156363133663212,0.20581065500009832
s01e10a,1,265,288,0.09993399694461215,0.06035202015792906,0.052251673891204255,0.03371842806634526
s01e10b,1,300,243,0.09597149532778591,0.010325002437926938,0.007151527046684754,0.10318730717861785
s01e11a,1,318,206,0.028428777498314937,0.05570576733101792,-0.008706682803414939,-0.041351305776049445
