measure,region,isc_none,isc_some,isc_full,d_full_none,p_full_none,d_some_none,p_some_none
rms,rTPJ,0.17196080177394377,0.17397514821971033,0.17810996164083165,0.006343446514148962,0.2844096256741519,0.0020764679419493096,0.7459263914585719
rms,visual_cortex,0.4429160257681906,0.399278166050971,0.43349042905582785,-0.011665340416362125,0.1388465797057699,-0.0530130409934762,8.431032717511744e-11
rms,auditory_cortex,0.23736317278634664,0.23661599451101184,0.23202484426806277,-0.005649468195167089,0.3282142450817631,-0.0007916398765550841,0.9024017280091561
rms,dorsal_str,0.06521201355177401,0.06867745530194859,0.06127322373644328,-0.003954591374990529,0.38127148990848314,0.0034810318826668488,0.4776682239390311
rms,ventral_str,0.04181869460061822,0.044614570489672316,0.03940992594119734,-0.002412745036130883,0.574476245486543,0.0028011019696989564,0.5310068569169191
prob,rTPJ,0.17196080177394377,0.1753560350117598,0.17497380997247525,0.0031064778828160124,0.606403537239575,0.0035007975631435075,0.545289631489565
prob,visual_cortex,0.4429160257681906,0.41297146515402344,0.4122160698379678,-0.03755700514177891,6.549123429219172e-07,-0.036647887241729064,2.5672771470730686e-06
prob,auditory_cortex,0.23736317278634664,0.23141146209964816,0.2313238418275647,-0.006390202680545287,0.2501455782873813,-0.0062976304516606015,0.30922989545912755
prob,dorsal_str,0.06521201355177401,0.06800025401421973,0.06124883874768442,-0.003979067838093421,0.3409811971769069,0.002800659802055693,0.5221663408489621
prob,ventral_str,0.04181869460061822,0.04312301890318549,0.037570298651333725,-0.004255081281285808,0.2845052952137178,0.0013066807030672905,0.7405008739073682
humor,rTPJ,0.17196724234932173,0.1820986872100369,0.17103683762483493,-0.0009585997636836876,0.8698559502735748,0.01045896752363225,0.0863907743325356
humor,visual_cortex,0.4436397999297511,0.42035018178272654,0.40587251915992945,-0.046061097385662546,2.8918307926966523e-08,-0.028628349247777504,0.00014791984353838472
humor,auditory_cortex,0.2376736317698965,0.24210721063575066,0.22867023524695643,-0.009520843768782391,0.0860005887988717,0.004704274586379627,0.46897014474850496
humor,dorsal_str,0.06531958027108506,0.07394647301069078,0.05950605597639602,-0.005836209117772524,0.19296370491028272,0.008668764193335997,0.0776359983719361
humor,ventral_str,0.04181401992507192,0.04397027727524676,0.040278494600769425,-0.0015381158278636232,0.70689898622238,0.0021602290913244073,0.6329804211999545
