episode,season,measure,region,tier,beta
s01e04a,1,humor,rTPJ,some,-0.37708828269608763
s01e04a,1,humor,rTPJ,full,-0.1554826304349065
s01e04a,1,humor,visual_cortex,some,-0.40795464466458864
s01e04a,1,humor,visual_cortex,full,0.11279493855115455
s01e04a,1,humor,auditory_cortex,some,0.31655726910225584
s01e04a,1,humor,auditory_cortex,full,0.1389508189274215
s01e04a,1,humor,dorsal_str,some,0.13202139319221337
s01e04a,1,humor,dorsal_str,full,-0.18783655338244415
s01e04a,1,humor,ventral_str,some,0.010267570930545505
s01e04a,1,humor,ventral_str,full,-0.22561651772003571
s01e04b,1,rms,rTPJ,some,0.0274910140804019
s01e04b,1,rms,rTPJ,full,-0.05236853154967863
s01e04b,1,rms,visual_cortex,some,-0.603832801714941
s01e04b,1,rms,visual_cortex,full,0.34201100734800277
s01e04b,1,rms,auditory_cortex,some,-0.04139850377011969
s01e04b,1,rms,auditory_cortex,full,0.5072737977579155
s01e04b,1,rms,dorsal_str,some,0.03874069643327886
s01e04b,1,rms,dorsal_str,full,0.10906821993281143
s01e04b,1,rms,ventral_str,some,0.07327222370390196
s01e04b,1,rms,ventral_str,full,-0.02046921165608526
s01e04b,1,prob,rTPJ,some,0.051839154374051066
s01e04b,1,prob,rTPJ,full,-0.06898099671624289
s01e04b,1,prob,visual_cortex,some,-0.08166777398012684
s01e04b,1,prob,visual_cortex,full,-0.22828453592670844
s01e04b,1,prob,auditory_cortex,some,-0.02269848960163695
s01e04b,1,prob,auditory_cortex,full,0.4454050220797631
s01e04b,1,prob,dorsal_str,some,0.08350599260178546
s01e04b,1,prob,dorsal_str,full,0.06104293081455822
s01e04b,1,prob,ventral_str,some,-0.15490240606238995
s01e04b,1,prob,ventral_str,full,0.2030095638979648
s01e04b,1,humor,rTPJ,some,-0.35759193057786387
s01e04b,1,humor,rTPJ,full,0.15461142405306016
s01e04b,1,humor,visual_cortex,some,-0.562803572092486
s01e04b,1,humor,visual_cortex,full,0.035590156249187245
s01e04b,1,humor,auditory_cortex,some,-0.16388328799103413
s01e04b,1,humor,auditory_cortex,full,0.3989467816596056
s01e04b,1,humor,dorsal_str,some,-0.10893519122043659
s01e04b,1,humor,dorsal_str,full,0.15781617867452594
s01e04b,1,humor,ventral_str,some,0.024534832809401743
s01e04b,1,humor,ventral_str,full,0.031099717870048477
s01e05a,1,rms,rTPJ,some,0.21406857834863086
s01e05a,1,rms,rTPJ,full,-0.2650085480155681
s01e05a,1,rms,visual_cortex,some,-0.09950085744922507
s01e05a,1,rms,visual_cortex,full,1.0207828751748256
s01e05a,1,rms,auditory_cortex,some,0.20226269335662722
s01e05a,1,rms,auditory_cortex,full,1.1819606922528187
s01e05a,1,rms,dorsal_str,some,0.1767535212903835
s01e05a,1,rms,dorsal_str,full,0.13927462735827756
s01e05a,1,rms,ventral_str,some,-0.005597324402490618
s01e05a,1,rms,ventral_str,full,0.14159429003397633
s01e05a,1,prob,rTPJ,some,-0.29771884583873737
s01e05a,1,prob,rTPJ,full,0.6503545715614942
s01e05a,1,prob,visual_cortex,some,-0.1842693561475851
s01e05a,1,prob,visual_cortex,full,0.26062578736157205
s01e05a,1,prob,auditory_cortex,some,0.11747595623332854
s01e05a,1,prob,auditory_cortex,full,0.5286741052486081
s01e05a,1,prob,dorsal_str,some,0.18040572049179385
s01e05a,1,prob,dorsal_str,full,0.16382633039385255
s01e05a,1,prob,ventral_str,some,-0.15641797139182095
s01e05a,1,prob,ventral_str,full,0.19217127656215013
s01e05a,1,humor,rTPJ,some,0.05190889635317217
s01e05a,1,humor,rTPJ,full,0.20526330502316223
s01e05a,1,humor,visual_cortex,some,-0.642657094639116
s01e05a,1,humor,visual_cortex,full,0.322976650572073
s01e05a,1,humor,auditory_cortex,some,0.08481180607304163
s01e05a,1,humor,auditory_cortex,full,0.41593426148182244
s01e05a,1,humor,dorsal_str,some,0.04156195525756018
s01e05a,1,humor,dorsal_str,full,0.22944268431192075
s01e05a,1,humor,ventral_str,some,0.020983644217560618
s01e05a,1,humor,ventral_str,full,0.007234534555899888
s01e05b,1,rms,rTPJ,some,0.2149363269382515
s01e05b,1,rms,rTPJ,full,0.39434690800024963
s01e05b,1,rms,visual_cortex,some,0.4268519256358638
s01e05b,1,rms,visual_cortex,full,-0.15767478103833688
s01e05b,1,rms,auditory_cortex,some,-0.11608551217871307
s01e05b,1,rms,auditory_cortex,full,0.20779402932406896
s01e05b,1,rms,dorsal_str,some,-0.11096032575915717
s01e05b,1,rms,dorsal_str,full,0.21603928877580666
s01e05b,1,rms,ventral_str,some,-0.2766006670708096
s01e05b,1,rms,ventral_str,full,0.2589967057310839
s01e05b,1,prob,rTPJ,some,0.29208165926911955
s01e05b,1,prob,rTPJ,full,0.24171372700596008
s01e05b,1,prob,visual_cortex,some,0.16568008510505663
s01e05b,1,prob,visual_cortex,full,0.34606711544857255
s01e05b,1,prob,auditory_cortex,some,-0.04257157694445627
s01e05b,1,prob,auditory_cortex,full,-0.024552440616795693
s01e05b,1,prob,dorsal_str,some,0.045225590003921914
s01e05b,1,prob,dorsal_str,full,-0.0723885434789249
s01e05b,1,prob,ventral_str,some,-0.021359738850828966
