,sub-01,sub-02,sub-03,sub-05
sub-01,1.0,0.595988571087861,0.5258075950683204,0.6496847604074533
sub-02,0.595988571087861,1.0,0.6660420094238426,0.6330909226533602
sub-03,0.5258075950683204,0.6660420094238425,0.9999999999999998,0.612214876675285
sub-05,0.6496847604074533,0.6330909226533601,0.612214876675285,1.0
