viewer,roi,n_episodes,beta,t,p
sub-01,rTPJ,273,0.15377555787563324,6.613412569737493,1.9824475385417038e-10
sub-01,visual_cortex,273,0.39956146478652954,16.571190256742984,4.073944205573174e-43
sub-01,auditory_cortex,273,-0.2669638693332672,-11.238376315495966,2.528803442623518e-24
sub-02,rTPJ,274,0.23018425703048706,10.88833319269542,3.624090562248872e-23
sub-02,visual_cortex,274,0.5083165764808655,22.465779070118806,5.199870089204259e-64
sub-02,auditory_cortex,274,-0.6191362738609314,-27.081393231020304,2.567384467656231e-79
sub-03,rTPJ,274,0.630388081073761,26.188243708814024,1.92501010615847e-76
sub-03,visual_cortex,274,0.5402729511260986,20.97135666740643,7.827755020986835e-59
sub-03,auditory_cortex,274,-0.8719919919967651,-28.41313528379567,1.5967375856031804e-83
sub-05,rTPJ,277,0.11215481162071228,5.369212456463809,1.6793912166709678e-07
sub-05,visual_cortex,277,0.48367127776145935,19.389946660882092,1.9121847467009746e-53
sub-05,auditory_cortex,277,0.1237306296825409,5.9419706224220565,8.46606362538144e-09
