roi,n,isc_laugh,isc_nolaugh,isc_delta,isc_t,isc_p,glm_beta,glm_t,glm_p
putamen,278,0.06640580854226219,0.06623797147090162,0.00016857857874567393,0.052674725067767374,0.9580290445218538,0.3211703133803522,30.259970405298766,8.371975533988081e-90
caudate,278,0.06719777545818785,0.06751705856374722,-0.0003207382939613483,-0.08904770248245861,0.9291083473170259,0.08059221418633826,8.891002326414709,7.961733970146268e-17
NAc,278,0.04131765451511985,0.04170083479932836,-0.0003838416359334084,-0.11881023377601116,0.9055118155166714,0.041124821772932266,5.429803892025213,1.234149853259037e-07
dorsal_str,278,0.06595369882409897,0.06514732555434813,0.0008098529707511633,0.23427357225226644,0.8149456648621067,0.20088126354969138,22.070721953880767,5.53370792939221e-63
ventral_str,278,0.04131765451511985,0.04170083479932836,-0.0003838416359334084,-0.11881023377601116,0.9055118155166714,0.041124821772932266,5.429803892025213,1.234149853259037e-07
