roi,n,beta_bare,t_bare,p_bare,beta_acoustic,t_acoustic,p_acoustic,beta_visual,t_visual,p_visual,pct_acoustic,pct_visual
rTPJ,278,0.28187964702347074,18.231044261243703,2.4432808054133364e-49,0.3247721135271912,20.814782112429622,1.409965059293193e-58,0.2759264348326223,18.128380428101497,5.736767918962058e-49,115.21658869544031,97.88803049325773
visual_cortex,278,0.4840874248893368,24.685395251575546,6.306958556690788e-72,0.3675648809305562,18.870020066643676,1.2181956846565561e-51,0.47535161759765904,27.368674504539293,9.660567947401056e-81,75.92944208674335,98.19540710158402
auditory_cortex,278,-0.40622880799456434,-22.379119625635663,4.6919672638054755e-64,-0.5638493203100928,-33.58494341636414,1.1484114504295117e-99,-0.40880365051699885,-22.5315094834862,1.391202932425073e-64,138.8009193867013,100.63384045438474
dorsal_striatum,278,0.2008812635784669,22.070721952781717,5.533707978150585e-63,0.20941387256181695,22.37393256853758,4.890400343122235e-64,0.19990754779143852,21.783963607721915,5.536561615346877e-62,104.2475882674927,99.51527794594541
