tr,rms_db
0,-28.052046014557035
1,-19.286247366940316
2,-20.898475714075595
3,-17.50862382362696
4,-18.473750328101946
5,-19.51954146647776
6,-23.74739887771635
7,-19.64781520300942
8,-20.293095398111088
9,-19.42741230473772
10,-18.23420113023603
11,-21.768277659712712
12,-20.43847858205268
13,-18.348953012072315
14,-20.49598104433802
15,-21.613576535600444
16,-21.430566151277674
17,-22.889158673225335
18,-23.719750204521034
19,-23.39408191415604
20,-24.43890303616911
21,-23.392132399123987
22,-24.427055726117537
23,-23.81554541309285
24,-25.790054829955285
25,-22.440111833255557
26,-21.52137542371108
27,-20.548208347074954
28,-19.514501403314956
29,-22.55562664292572
30,-22.824347912638352
31,-19.54402173091585
32,-16.879062938430273
33,-22.487908052548296
34,-21.043060081121165
35,-22.887052457170082
36,-22.22098728735584
37,-19.004054882039583
38,-17.82872640546993
39,-18.939556878430036
40,-19.19703120376068
41,-19.20923916758762
42,-22.891334705723573
43,-19.2645836545804
44,-21.587106403615408
45,-19.228795046795778
46,-18.70480661686412
47,-22.258269612415496
48,-20.653838916853374
49,-20.520281132779967
50,-21.703329579028306
51,-20.73030512886494
52,-19.229224264847346
53,-23.443515248862035
54,-180.0
55,-180.0
56,-180.0
57,-31.13843538230825
58,-35.422531316581015
59,-31.01858712845315
60,-18.189133450301878
61,-21.229583837438778
62,-19.368956726858645
63,-20.263415809739442
64,-20.609833171313564
65,-21.65349633472715
66,-19.700461423798647
67,-21.379318822369235
68,-21.404846023405483
69,-17.146558552256433
70,-26.30446523254833
71,-20.335563022281818
72,-20.043276214479896
73,-20.762594684899067
74,-21.029806631110056
75,-24.300588403601754
76,-21.06783295926441
77,-18.510401007874485
78,-20.032842759313464
79,-19.887839273889345
80,-19.995973534334844
81,-21.975395155138564
82,-23.838904577388263
83,-18.172493583026004
84,-20.047749466856036
85,-19.925884707510882
86,-20.265767839057926
87,-19.867086564510053
88,-22.43400998074818
89,-26.065219573507193
90,-24.078212155665312
91,-23.62810658769323
92,-30.652237601348045
93,-26.077802307786747
94,-22.92528400165363
95,-19.2579119936291
96,-19.300831554545724
97,-24.413555524354823
98,-21.571203028253944
99,-19.41942293239086
100,-25.232317847396356
101,-19.357233473238665
102,-20.44048879767827
103,-25.778313856179736
104,-23.29509320725372
105,-21.860051851769224
106,-20.0463570047952
107,-18.944842270355117
108,-21.112109020955394
109,-18.10705063019269
110,-20.44992316936373
111,-18.21282323683147
112,-17.344568419639966
113,-18.976392174408478
114,-18.534571355313755
115,-19.04223698282186
116,-31.746053971871916
117,-18.341210156536523
118,-18.99966136092437
119,-21.624010719994843
120,-18.47258291078992
121,-19.43453536167501
122,-20.2477688773345
123,-19.795828649882733
124,-24.76968992483051
125,-20.597781367899152
126,-22.48183991596532
127,-21.183440608630505
128,-21.440142722218724
129,-27.69266286889955
130,-18.627064713953065
131,-21.586872577290983
132,-19.665165343113852
133,-21.73459118555425
134,-21.352911855349017
135,-21.858204404844678
136,-21.32641960923612
137,-24.40746194435143
138,-44.723217141128245
139,-17.582050434284472
140,-23.265360059665092
141,-18.62731373075176
142,-27.451037258446846
143,-19.21800683470181
144,-26.085587997075294
145,-23.921113534446082
146,-23.24494740992165
147,-27.655758039434055
148,-24.214093063430937
149,-21.070023313213277
150,-26.071289415559082
151,-21.99497033803933
152,-24.067515332737933
153,-24.340538233505754
154,-28.70558627297133
155,-24.506042152027582
156,-16.076041663484762
