tr,rms_db
0,-28.62971267265618
1,-25.822641105512346
2,-20.74632486397443
3,-19.521939631329463
4,-22.183886723362388
5,-20.956875168620787
6,-21.509129624482167
7,-23.62109843043289
8,-20.763802055321705
9,-24.23137436762831
10,-20.81388684869951
11,-20.76962962921757
12,-25.177686408406107
13,-21.375217395129397
14,-21.465819174278515
15,-22.253002567730015
16,-21.301743836947228
17,-21.119092810207178
18,-24.432697717229658
19,-22.170684692289463
20,-22.941031222125268
21,-23.373567792847396
22,-26.543213469306718
23,-24.26605610428164
24,-23.76430535673347
25,-20.92643052638886
26,-22.101571152327434
27,-23.628540673615625
28,-23.085588911146495
29,-24.13423299605546
30,-25.834598441707044
31,-22.31608759854991
32,-23.02804751237272
33,-22.91366374412234
34,-22.008824275111976
35,-30.850651857519953
36,-20.317735009278724
37,-21.414643600193813
38,-22.847170651271753
39,-19.14717920028842
40,-19.972402303364085
41,-21.802123540081382
42,-22.30151977035938
43,-22.907549279675756
44,-20.960571251875976
45,-19.245553958816334
46,-25.704242922815492
47,-28.23654779459934
48,-24.00530033766352
49,-22.729459572563155
50,-20.215746588292514
51,-23.26418249034149
52,-20.732857365129675
53,-20.301558652280573
54,-17.348556169921025
55,-17.29630067778801
56,-18.8577979575021
57,-18.314115722809802
58,-18.10201461576818
59,-18.584004198307497
60,-20.12475641297101
61,-19.836259868987515
62,-18.237893018798886
63,-19.016439500291526
64,-20.168508899901553
65,-18.59521786490435
66,-17.928663897857408
67,-18.79991436170693
68,-19.844755983209094
69,-18.561347449836315
70,-18.17181301611446
71,-17.19751432869629
72,-17.866289850775537
73,-20.26819779549335
74,-19.431128382951872
75,-18.15604176635067
76,-19.473252800865076
77,-20.041105127754683
78,-18.052344872765868
79,-19.53879428615542
80,-19.515318320483964
81,-18.747022474829542
82,-19.359934429524905
83,-18.723175898872505
84,-20.112897253030248
85,-23.62049295002997
86,-20.195743281666196
87,-19.586511036093736
88,-27.66190900958002
89,-26.892693091243707
90,-21.012730413692502
91,-21.797773832401305
92,-20.540651913812333
93,-20.815900651910866
94,-20.416366988217636
95,-21.681681137982807
96,-24.7080175717251
97,-22.835328832527395
98,-23.290345175394272
99,-22.14221341012122
100,-21.895593685632967
101,-22.512681812937082
102,-21.502377816826215
103,-22.95199077521989
104,-21.82810712936169
105,-22.07723456635563
106,-21.209484978642713
107,-21.923653431339176
108,-23.442071897322126
109,-21.70145062690358
110,-26.996043320174927
111,-27.37305780904595
112,-26.727108533503284
113,-22.530882613116596
114,-22.01538744031137
115,-22.774721298255095
116,-24.90674597017788
117,-21.41100349429233
118,-23.042255812357332
119,-24.681602700446746
120,-19.65617818421358
121,-21.416659991802653
122,-20.549092630094513
123,-25.91015359874756
124,-23.956886301257395
125,-19.571604347078676
126,-20.760216540755636
127,-21.98075689251487
128,-20.650029476832387
129,-24.024593662773132
130,-26.357442112104135
131,-24.95703251151177
132,-20.716823238564714
133,-21.936444262323676
134,-24.291477436979445
135,-24.385337036451414
136,-25.53175655266042
137,-25.771369080753406
138,-21.750388533543344
139,-22.183265593871866
140,-21.212427086723547
141,-23.973233883271526
142,-22.686666006892903
143,-21.854795700636185
144,-26.203101310193077
145,-23.159948578240947
146,-22.159448408881506
147,-26.107539247599263
148,-23.21238700440471
149,-30.52729304707345
150,-24.260404743696885
151,-19.919042478450585
152,-24.101040673464812
153,-32.50918457679023
154,-22.56817232281419
155,-24.53329162920701
156,-22.868003554998374
157,-26.46422814323755
158,-22.665318347220133
159,-23.555889730108536
160,-23.556377122322534
161,-24.84559858553493
162,-29.298415272500193
163,-24.200372878608178
164,-25.181222902188342
165,-23.356517144709528
166,-19.819761386390184
167,-26.072612320007252
168,-23.400290996098168
169,-22.614686877343217
170,-22.546875645312006
171,-23.097417228615594
172,-25.493693871451896
173,-21.659660662057853
174,-22.697725342860544
175,-25.320573607165176
176,-22.226419730480412
177,-22.990831780590838
178,-21.353288256200877
179,-23.00841225031053
180,-22.244520797943213
181,-23.73376456345635
182,-22.336964172516808
183,-22.48651755748911
184,-23.717706532536525
185,-21.75483580381513
186,-24.185097856229767
187,-23.606563168507137
188,-25.039251614453
189,-26.86353219460174
190,-22.60856060004251
191,-21.510721253657096
192,-21.37813494953347
193,-19.634531033020927
194,-23.881589621249795
195,-22.561042294190177
196,-21.94357861707783
197,-21.899223919223015
198,-24.013976718938217
199,-23.625814924064272
200,-20.715897631401674
201,-23.208731298311225
202,-21.17475261744344
203,-22.648398664901748
204,-19.814576166970276
205,-23.623864642474555
206,-20.423405891729594
207,-21.17252971756208
208,-25.017459589336536
209,-23.743154871884965
210,-23.620135587219014
211,-24.002370257052927
212,-27.71800234442058
213,-28.653450705194686
214,-21.97301613606986
215,-23.19169853838411
216,-22.430296670136624
217,-21.358888205854463
218,-32.703665221947304
219,-23.300157225387178
220,-25.68550535409425
221,-23.193487249754376
222,-21.667973499838308
223,-28.586500791126163
224,-20.11403750013791
225,-21.82524887286882
226,-22.06557019672083
227,-23.506321995860134
228,-21.196627504994687
229,-22.353322987258608
230,-22.22364642714853
231,-23.455562658479195
232,-24.664332854612784
233,-21.431941457306948
234,-26.69264127602059
235,-24.839085994523565
236,-20.787073261985842
237,-23.031708047694718
238,-25.30860869308792
239,-28.160240322618147
240,-22.843695288620363
241,-21.98121339206926
242,-24.819453790054236
243,-24.45272566904192
244,-20.443337124162447
245,-22.737927202539122
246,-20.991840111350445
247,-26.800919005518615
248,-23.968116546186266
249,-23.626131110581476
250,-22.01626132494016
251,-21.23919483863162
252,-23.006311159500754
253,-22.287722093586083
254,-23.99670209126651
255,-18.32185194134762
256,-23.40677715102696
257,-21.678330445529696
258,-22.545232057724817
259,-19.461644907755723
260,-23.064046488601267
261,-23.224945206022415
262,-22.17665777078785
263,-21.979027111406964
264,-23.59872865725668
265,-23.87593619855695
266,-21.618900765748318
267,-21.74774490515327
268,-19.25770826036757
269,-19.788416452247308
270,-19.97217971398243
271,-18.734408774090788
272,-18.631107767245734
273,-21.358759139420293
274,-21.142073276306732
275,-19.451428904594835
276,-18.643312862689875
277,-18.505170048689166
278,-17.455196779841636
279,-19.127048197256098
280,-20.599155643221174
281,-22.006076947542216
282,-18.569619281436818
283,-21.99343832285816
284,-19.065057419202706
285,-18.981741582851445
286,-23.693627779595957
287,-24.223749701375674
288,-21.96896009621139
289,-19.38253724737124
290,-22.17160283990516
291,-28.11532843556693
292,-35.834381285564724
293,-23.179282066232116
294,-25.657238068207672
295,-22.468384594139643
296,-24.64587263151062
297,-24.777784879140135
298,-29.57097435627963
299,-24.89200104136424
300,-20.96984471583266
301,-25.235579830698263
302,-23.74832409743201
303,-25.08582296390667
304,-24.540542630605515
305,-24.15371319613873
306,-23.601661246073398
307,-25.642521426365654
308,-25.264976306213683
309,-25.03824890222841
310,-29.30746450147737
311,-21.511030437945934
312,-22.009835843969697
313,-23.227709224919018
314,-22.451904896577382
315,-19.22347265261911
316,-19.939092186994188
317,-20.85567905936837
318,-22.832502581144105
319,-21.299475391791766
320,-19.77322557019817
321,-21.88434087825682
322,-24.66167260813041
323,-23.316429480560746
324,-23.806277284664503
325,-23.778432004758336
326,-26.481473124614755
327,-23.40890152143446
328,-21.615694166694798
329,-27.362945096017057
330,-29.127031770182043
331,-22.925291554057907
332,-20.998056219007466
333,-22.406002272000837
334,-21.12504680116934
335,-22.844464299117707
336,-25.48280097078878
337,-34.236901734192784
338,-22.70411340046353
339,-24.468689548712973
340,-24.543419624790435
341,-23.281108186904127
342,-23.7680570507322
343,-24.21018576864089
344,-26.47590798857006
345,-25.463301466082164
346,-38.99283165294126
347,-34.87984830094321
348,-26.57278038952638
349,-23.934053450026166
350,-25.778842228620718
351,-25.276092692728565
352,-23.797290611126595
353,-24.25064561057664
354,-22.527409327297327
355,-18.019147356605465
356,-18.989920541748724
357,-20.032592994712264
358,-18.198549795388526
359,-18.154820230406397
360,-17.99963289560712
361,-20.486846504096476
362,-19.741907192848416
363,-21.57638130569325
364,-18.828884611447776
365,-19.045436146546507
366,-19.833879744235283
367,-20.439834429653384
368,-22.660104671315956
369,-25.824029263450864
370,-27.653505041951938
371,-28.583631893449073
372,-22.25246759138857
373,-17.91424334324808
374,-18.831419824014088
375,-19.121183876599844
376,-19.69910254709222
377,-20.02146366174101
378,-19.64079781678911
379,-20.37104184469826
380,-21.0362464962868
381,-22.66214286864534
382,-24.681995138509404
383,-23.250864612619964
384,-22.508237049977655
385,-24.54689500850915
386,-23.122463202907642
387,-19.99292251036582
388,-20.294694994293756
389,-25.391401733531612
390,-25.10960089300472
391,-27.818036575121905
392,-21.624537470477605
393,-25.142155877063622
394,-41.82842537597299
395,-27.49207458880179
396,-17.936424219832453
397,-19.258757990690178
398,-22.49837073859872
399,-22.581244966073584
400,-22.88193516515587
401,-22.699654736681012
402,-20.010705214699126
403,-23.143550730518626
404,-22.71116534664032
405,-24.606933257797454
406,-21.380484885447473
407,-23.19349119032131
408,-20.629366003393358
409,-21.533864055589625
410,-21.301541186771207
411,-22.51739486087985
412,-21.52127094596669
413,-21.378713576953864
414,-21.231103768893394
415,-23.170346991959832
416,-25.870874207750603
417,-23.635287189570594
418,-30.625752335033706
419,-24.086854341778327
420,-29.90853060446407
421,-23.598845623974867
422,-25.4269024488346
423,-26.959144150417856
424,-28.443687975308777
425,-23.51549751198484
426,-25.032502010107272
427,-26.293339917933054
428,-33.74219189168358
429,-25.71037142825725
430,-24.113413090246915
431,-22.037123568949863
432,-20.60352419253099
433,-26.02068006835092
434,-27.03782476879016
435,-24.571749306493867
436,-31.617487308027194
437,-26.190247526485045
438,-25.18788778089972
439,-22.083803558719545
440,-28.088011611591156
441,-30.209283371904622
442,-30.781668105475784
443,-28.048626379050653
444,-26.63000996646396
445,-24.529853903981245
446,-33.28302066439445
