tr,rms_db
0,-29.75040426895702
1,-32.16186788476972
2,-20.555718928941697
3,-18.546342000613215
4,-17.86607497503194
5,-21.258997616051325
6,-23.140260903459012
7,-20.71610910636528
8,-23.43297139241813
9,-24.259984255722774
10,-18.859664678559152
11,-23.384087938582937
12,-24.206316082703427
13,-18.93974093271122
14,-21.264326862477752
15,-22.050629605904067
16,-20.395706115054466
17,-19.872766631839813
18,-24.556164455273162
19,-19.046555967175365
20,-20.374627511121254
21,-20.74043903614966
22,-19.648863435614775
23,-21.374228271545647
24,-17.46064591111859
25,-20.822424140984648
26,-20.791473699513677
27,-19.669761053270427
28,-19.38953641943146
29,-19.494033975891362
30,-21.256545403927195
31,-20.245531616810336
32,-22.3814357450291
33,-21.415334256095292
34,-19.35590092170075
35,-20.38462062058418
36,-32.434786062842925
37,-22.861604760347323
38,-19.02613793976972
39,-20.698928540424454
40,-20.732623987336055
41,-25.751923457333042
42,-20.787433421042167
43,-24.418186138622374
44,-19.69124040366676
45,-19.057908499518785
46,-21.318903430715906
47,-22.003544321291297
48,-22.76125259703456
49,-22.71153706180251
50,-20.708129562669804
51,-20.170467164948644
52,-23.96797788580942
53,-22.694510526902093
54,-21.233465535923962
55,-23.832698847403698
56,-22.332166743592644
57,-20.18645053520574
58,-23.570381877207666
59,-22.24776365677887
60,-21.229663734842063
61,-20.594209054158547
62,-20.21236683949493
63,-22.562131098123295
64,-24.024500786160306
65,-19.80471886724303
66,-21.58547064820157
67,-19.935163039973084
68,-22.524758016526228
69,-19.137676793494663
70,-23.396123342760408
71,-20.605336543323144
72,-20.881490781493852
73,-21.801104276089752
74,-20.991591873291163
75,-47.87657654901157
76,-23.372190756559718
77,-20.65697415580827
78,-20.534156450333466
79,-22.535486743075715
80,-19.532885291239253
81,-21.932465247545586
82,-21.603182648417786
83,-19.576253747858168
84,-20.12798585103426
85,-19.19883440158277
86,-21.23879782338909
87,-19.118040206425057
88,-18.211667181227455
89,-21.24349951240392
90,-23.48900557474327
91,-22.527455195668473
92,-21.35066171268916
93,-19.621463977693402
94,-20.822719731439072
95,-25.428682590543335
96,-21.559128273310513
97,-17.68409383434935
98,-19.564042214695835
99,-21.0469589979104
100,-20.260696253826296
101,-20.54002774968463
