tr,rms_db
0,-117.6333865416616
1,-22.059289574919173
2,-20.48346394671772
3,-18.659170845617123
4,-20.069355803214517
5,-18.72189225345943
6,-20.514632214587603
7,-23.49157196905764
8,-21.166653329829824
9,-20.035070404623507
10,-24.685971772385354
11,-21.08093488239513
12,-20.521209686469724
13,-18.50324344216733
14,-21.487351545594695
15,-18.722844284843752
16,-20.327509183967813
17,-19.715395765730385
18,-20.061132859969884
19,-18.818873697182482
20,-22.21867194766076
21,-22.84346016955606
22,-19.900871450765443
23,-22.363012242114518
24,-28.14178044528145
25,-24.73867111634394
26,-20.498978222150424
27,-28.129628915302526
28,-26.113796083160587
29,-34.59687524745059
30,-20.094035973561528
31,-19.709728421749865
32,-23.025747762423585
33,-32.59156437775242
34,-28.319813420342367
35,-39.181788430757244
36,-27.322866026756138
37,-21.67795412991206
38,-17.9813831273629
39,-19.56762415869301
40,-25.684132468215253
41,-21.48263280604462
42,-22.439822787167948
43,-20.250204100818582
44,-21.156279063581923
45,-20.654159363492596
46,-20.611812790534223
47,-21.82039571385428
48,-20.71102348943006
49,-20.556341826768815
50,-19.04622809217905
51,-19.264988843862877
52,-20.377778370000435
53,-19.00581038774291
54,-20.231685831609894
55,-20.03354465332111
56,-19.25778445459149
57,-19.949127917679007
58,-20.030738612146347
59,-19.65772997766593
60,-20.33123635723728
61,-20.758018614152697
62,-19.659271179621875
63,-20.353048568296348
64,-20.794615120741938
65,-20.158369938278106
66,-21.386708438132025
67,-22.767174419401833
68,-20.33614482646946
69,-21.36900848146965
70,-21.090025019910343
71,-23.14372023675691
72,-21.380650580045938
73,-22.434608641790387
74,-22.005245889758818
75,-20.825318788376062
76,-21.91837397931225
77,-22.099557365237914
78,-20.86497631953314
79,-22.178633229947557
80,-20.615571645926074
81,-20.611842816887762
82,-22.617474008371396
83,-24.017454076583014
84,-28.91977109324084
85,-21.595197290747173
86,-20.884574773623036
87,-21.450198611118665
88,-32.91109272637569
89,-20.43852027265384
90,-23.48132172810987
91,-31.629707106525423
92,-25.61098353430632
93,-23.569619908423697
94,-21.973162349829906
95,-24.08934320671278
96,-25.108476307922082
97,-23.285037833031748
98,-25.039650993381105
99,-23.945193041482536
100,-24.659319477667182
101,-23.62749611914014
102,-26.922587150990754
103,-24.29824769067657
104,-24.77726176250087
105,-25.645667352964324
106,-25.964180081082997
107,-23.624893471383675
108,-24.878631001412298
109,-23.748459103886518
110,-25.71607974499266
111,-24.053358191215434
112,-23.309630895014838
113,-26.334780363131628
114,-28.255249434170786
115,-26.664452867837134
116,-27.34258580259718
117,-26.729420888632127
118,-23.815550525513736
119,-26.224371571667277
120,-22.874400885218122
121,-26.276027446980162
122,-27.17866352839659
123,-24.912724143382896
124,-25.17711302521206
125,-25.379553038107076
126,-27.43531161726927
127,-29.547435724234706
128,-25.76794440240561
129,-23.976176630463122
130,-23.786806872901124
131,-24.140195980285807
132,-25.365735069277928
133,-24.842493071608974
134,-24.565175539089388
135,-23.763688352466033
136,-27.747715586140647
137,-24.207550219564872
138,-25.078241864794457
139,-24.5027799096745
140,-23.121329613869218
141,-27.60998981172516
142,-25.755157473644886
143,-24.853106743684734
144,-24.27279259213274
145,-26.659163759817602
146,-23.38398655618006
147,-24.125459287712676
148,-25.122247015878965
149,-25.140479194565728
150,-25.049232442182856
151,-22.9804347423152
152,-25.660118439095292
153,-23.1557302565396
154,-25.219701498407044
155,-25.201333791287155
156,-25.30923581414352
157,-24.379278518950102
158,-23.995361946729922
159,-26.5042855996357
160,-23.42168478730944
161,-24.758484765219407
162,-24.601067900960814
163,-28.01312187477871
164,-28.947948763677722
165,-25.10922132974418
166,-28.829307034356027
167,-22.91130428518016
168,-24.788167847432092
169,-24.299505815605265
170,-24.192602571877554
171,-22.707069362826427
172,-24.661213828021996
173,-23.527909413648274
174,-23.778520074751746
175,-23.38729304822213
176,-23.058521917009127
177,-30.48512177021889
178,-26.628263515978134
179,-21.626410032589188
180,-24.610959831326177
181,-20.826615985684896
182,-24.732412998196413
183,-28.302015705970906
184,-24.816072538886207
185,-24.663517014024308
186,-25.909874024504617
187,-24.492646967620942
188,-31.07517182548598
189,-25.784142881693594
190,-24.723647214334644
191,-28.82712539711727
192,-23.918014527106987
193,-29.552220223365918
194,-22.344420029389887
195,-22.531987908274452
196,-21.86367200308762
197,-29.65933038007918
198,-27.210447735841747
199,-27.35486150153975
200,-21.053805925176835
201,-24.970783820307673
202,-24.897506588659052
203,-23.406733138906134
204,-27.003126060554962
205,-23.670473966854665
206,-26.639172967870767
207,-26.215790236757744
208,-28.298836922272244
209,-24.37063641597341
210,-25.409168198554312
211,-25.455803979149994
212,-27.289688036920758
213,-25.282758569931527
214,-24.83636481480235
215,-27.054640897132284
216,-24.32729993389229
217,-25.218605627044685
218,-24.753863858235068
219,-24.628895787328457
220,-21.56836830744913
221,-25.949727247057414
222,-24.257202570558288
223,-22.553323660229587
224,-22.31790478989289
225,-22.645256705373416
226,-22.453833905791114
227,-21.35151741982465
228,-21.19162084520022
229,-21.208266896899055
230,-25.411111156387204
231,-25.900196775301517
232,-24.67671152858948
233,-25.53686197139106
234,-28.124812112421257
235,-22.362216613899804
236,-25.806055172119187
237,-22.01419208285799
238,-24.97676197011231
239,-25.058704742747327
240,-22.069942480376497
241,-23.393746705769345
