tr,rms_db
0,-30.88351435662137
1,-24.2111221678856
2,-17.743039475279847
3,-21.93150975898519
4,-27.992822581124823
5,-24.010806273216726
6,-23.430337784597334
7,-21.78090527441258
8,-19.97441376913524
9,-22.916939316547097
10,-23.188919273285077
11,-21.86411934455795
12,-47.67362429576748
13,-20.57914101949819
14,-20.779833878149123
15,-30.772318805148725
16,-35.32451679542823
17,-27.082698775209238
18,-24.559361538900273
19,-21.648962220028526
20,-22.683360076857177
21,-22.047725546965427
22,-22.787856288990316
23,-21.039081799950274
24,-26.19004925805546
25,-21.549343487356545
26,-21.54183278464929
27,-23.353020118314497
28,-22.191147927393743
29,-23.21372471487028
30,-23.692998230246832
31,-22.309639415604256
32,-24.22136983711496
33,-23.166123884085987
34,-19.339995250269723
35,-21.452083873382563
36,-23.922158192338717
37,-25.844416371915678
38,-25.093474077657184
39,-22.00893561590724
40,-23.69934047532211
41,-22.770041666122708
42,-19.530453453622915
43,-23.48278277860979
44,-22.98183795992085
45,-24.27431710629978
46,-28.202962087209514
47,-22.51677566549143
48,-20.88309629100847
49,-21.41709312542995
50,-21.127976291444767
51,-23.74708520434575
52,-22.853919684151943
53,-23.12609964910649
54,-22.438194128935276
55,-26.952692716117813
56,-22.058011742411775
57,-22.02671060218256
58,-23.21760642765407
59,-27.677405581003637
60,-23.12453573654747
61,-18.557693295702272
62,-19.6778281588467
63,-23.142906908698745
64,-29.38945514759756
65,-30.638551612972197
66,-42.06327344198846
67,-39.27550943066735
68,-26.755167412578977
69,-34.74475175525215
70,-29.40848283828002
71,-25.87473776494878
72,-32.08658625241243
73,-35.07286106173122
74,-24.726697532498846
75,-30.53650139083517
76,-26.647199917385645
77,-20.350069828650273
78,-22.465332640440522
79,-18.999036751116723
80,-21.414939610195106
81,-20.246602889382494
82,-17.249458841917786
83,-17.385051637959844
84,-19.848159306801186
85,-21.56396278230822
86,-26.897156641542654
87,-21.52056383779293
88,-23.48313257046066
89,-24.169280095594246
90,-24.966753360556314
91,-24.568292117913483
92,-23.124397951292217
93,-21.65589580944531
94,-22.766396824609668
95,-23.139581922962176
96,-24.7550162596482
97,-26.008490739407534
98,-22.986040574014822
99,-22.258102605235525
100,-22.30405067194695
101,-27.202126093521898
102,-24.434980942386197
103,-24.145845077139533
104,-20.409580806044932
105,-24.70040345683083
106,-23.150183824205598
107,-26.520802108991745
108,-26.690056465105876
109,-47.155653397464036
110,-24.76154641383301
111,-18.517201724515257
112,-18.378653753917508
113,-18.096747200131148
114,-18.26354613076826
115,-20.645579267837228
116,-29.935582947946237
117,-29.604288862621587
118,-29.221507930034445
119,-28.501607553532672
120,-25.09770030240951
121,-27.044433196274312
122,-36.71946079268704
123,-25.999653987796574
124,-32.01026805345011
125,-37.62813045072454
126,-25.15140190886209
127,-30.19946632295648
128,-23.960912361914943
129,-26.98505549576534
130,-21.28931079363777
131,-29.309370020865906
132,-30.596582869573137
133,-34.52451324866328
134,-24.412008211853937
135,-23.16847867412904
136,-22.27568410442143
137,-26.666971567597578
138,-25.452049997078877
139,-25.421233501700982
140,-22.939330862553152
141,-24.445871211137714
142,-26.56242965637738
143,-25.89797556813536
144,-25.072113653593895
145,-23.851002304868416
146,-29.080827888716033
147,-21.977524120099776
148,-22.952334658609395
149,-23.35776612481292
150,-24.348388830292244
151,-25.02113338333608
152,-34.35476364162436
153,-23.053517543217367
154,-26.683195617474162
155,-29.61752152124708
156,-23.93345945748905
157,-23.360288090584667
158,-24.503888197270683
159,-22.95426381392819
160,-26.674122921636233
161,-21.991470093581405
162,-22.003368572244657
163,-21.374521147845776
164,-20.76001294489842
165,-20.234339945183347
166,-22.47434816914971
167,-24.82370014396401
168,-30.76365808892168
169,-32.48146698838272
170,-23.44025830084231
171,-21.522584585133423
172,-21.65663366715791
173,-20.35613040478708
174,-23.29721473673193
175,-20.649851108649145
176,-23.611570177388202
177,-25.347990792489963
178,-25.36228333602837
179,-30.85744653598971
180,-26.956074577730988
181,-24.971829502799796
182,-20.370379864665033
183,-25.691362814069816
184,-23.08154184660026
185,-22.485082239442413
186,-24.887987470001995
187,-24.59840558172209
188,-29.45362917256403
189,-30.97652987313755
190,-38.638953680149285
191,-22.767950043750226
192,-22.117771314998436
193,-24.469875978199948
194,-25.88469719406173
195,-25.358574336635424
196,-26.064168925419047
197,-28.53215228750186
198,-26.11836230893642
199,-27.91993150529318
200,-25.489180868736106
201,-20.391895210029368
202,-26.220335202367036
203,-23.423339767814433
204,-22.397690473009277
205,-24.087436991396434
206,-25.531333773824496
207,-24.977602443818476
208,-22.120717441328065
209,-24.436797270728935
210,-23.030829009214866
211,-22.124802248464203
212,-24.381053179822857
213,-24.934817281179885
214,-23.18825762559807
215,-20.779230402153388
216,-25.851562729655196
217,-27.16775110880573
218,-23.002020540025555
219,-22.48764924436932
220,-23.678502346214568
221,-22.427566327749116
222,-23.26321620989698
223,-23.15630351419418
224,-23.378023218809552
225,-22.964128613011994
226,-29.694810621132532
227,-24.074144541966582
228,-26.214372016243832
229,-22.646608295725322
230,-21.906944212265653
231,-20.73194707901774
232,-22.70620307131137
233,-24.13174592369462
234,-23.446926171132336
235,-26.099962760358068
236,-20.70906108778306
237,-21.179000744101913
238,-22.44180061437644
239,-26.698526765189165
240,-25.54831065054394
241,-29.014177429938144
242,-36.34270980690838
243,-27.696300384305765
244,-36.89634196456146
245,-24.845744577526034
246,-30.125995464511924
247,-27.93674601492951
248,-28.768159701441892
249,-23.640025171014557
250,-26.899660828521746
251,-22.754759856788127
252,-25.84875357422935
253,-21.900556726438275
254,-24.577125845250055
255,-21.850696331015612
256,-19.316362457307893
257,-20.16941368140109
258,-21.93032146986056
259,-23.79251101564662
260,-23.248846455146165
261,-24.969613019211558
262,-24.573940444791837
263,-26.455596733107733
264,-22.748230631552666
265,-36.76292842226289
266,-26.489014017104793
267,-28.224542337213073
268,-24.126475614364587
269,-20.73311112746174
270,-22.52172966034689
271,-26.533590980287673
272,-20.462849670938756
273,-25.420916686292607
274,-27.826498434250414
275,-28.7317777900455
276,-26.987809692301777
277,-22.072156466968615
278,-36.364668740534036
279,-29.173583031784887
280,-43.217451661171474
281,-30.094173255711492
282,-27.167972175546623
