tr,rms_db
0,-37.00267784643507
1,-25.054001995061125
2,-22.140544470688923
3,-22.996603790007335
4,-22.000275624901413
5,-20.635614683533618
6,-19.14008669158649
7,-28.940450881943196
8,-17.869969188207644
9,-19.770552888160967
10,-20.65109021628141
11,-18.45000860278803
12,-20.369060526685267
13,-18.167737066895267
14,-19.350975182043484
15,-22.37079088952641
16,-18.504941203002108
17,-18.767979427162253
18,-22.52108018971072
19,-22.216702456840117
20,-21.895273113854916
21,-23.24867385588679
22,-21.606023663493982
23,-20.611492931165248
24,-20.856401384087317
25,-22.59774015939515
26,-21.171227199172623
27,-21.24235205213534
28,-20.77732409143787
29,-20.190097375917997
30,-27.630416412969105
31,-24.067310630800552
32,-23.420534996090527
33,-22.58319392079361
34,-19.959554624052615
35,-24.631269272048772
36,-26.987576341525383
37,-22.909220646264274
38,-22.877829503046495
39,-18.909862894855863
40,-21.46768338386288
41,-26.793533036756084
42,-18.608361189754223
43,-23.79719941435883
44,-19.908977187373246
45,-19.951487150391333
46,-20.479257110266342
47,-23.83044979407461
48,-27.572726457590456
49,-25.63395473666879
50,-22.19940234342146
51,-21.200759487795146
52,-20.331874708486538
53,-18.443112371369978
54,-20.747644827776654
55,-20.29482818449854
56,-180.0
57,-180.0
58,-180.0
59,-25.261491225304415
60,-19.689178538889088
61,-21.88691170659071
62,-22.63472804503361
63,-20.744368524615133
64,-21.61679980916969
65,-21.83172176097726
66,-19.349495936666536
67,-27.18955827964864
68,-21.77994792903831
69,-22.30319254035964
70,-25.844485569397364
71,-24.244372609539045
72,-23.283965470348203
73,-22.409719688230854
74,-24.034711235920728
75,-23.26642805566767
76,-21.79040911505432
77,-23.05984777454902
78,-24.78303152455888
79,-19.81964220032018
80,-23.378975544112947
81,-20.339677049370334
82,-23.180483311415067
83,-24.0166959062961
84,-22.815188952467107
85,-24.47061832593086
86,-21.300636008623876
87,-26.293285189664747
88,-35.84182330973816
89,-19.26856945492792
90,-20.18713901593682
91,-24.857030301205185
92,-22.191567778606334
93,-24.931909277172068
94,-25.765908869997943
95,-22.736782771192928
96,-25.083069025122747
97,-23.353716477632354
98,-22.696374681227304
99,-20.176238907136096
100,-23.14554942387025
101,-20.379331025462044
102,-19.64529214393689
103,-20.910348446097856
104,-20.745103805764423
105,-22.08339105108081
106,-21.11688397576127
107,-22.53909097311333
108,-21.139921095793163
109,-19.13041207643159
110,-21.46537341036323
111,-22.23635658656852
112,-23.391146003638713
113,-27.957168158108054
114,-30.071102360544437
115,-30.92779328236366
116,-23.655092127988922
117,-23.808750052154494
118,-27.511730329031398
119,-24.962283219514283
120,-19.526763487376105
121,-18.69217205792218
122,-21.27396556038278
123,-19.980720601309446
124,-21.667726802279894
125,-21.04790540302799
126,-23.69576674446889
127,-19.359835222570908
128,-21.79260833053961
129,-22.99562078070615
130,-25.30706462601332
131,-23.61001003256598
132,-20.8856903565654
133,-21.401688438255956
134,-21.387229581966714
135,-23.842351623456356
136,-22.71790155169608
137,-23.564914185652228
138,-22.42720167646091
139,-21.49262341592554
140,-18.410353702139012
141,-24.27922358940105
142,-22.809045497187007
143,-21.517563648832777
144,-19.224944559825275
145,-20.085272000415625
146,-21.682680301563032
147,-22.581985933333865
148,-19.80513723408603
149,-21.467879061795983
150,-19.90641670353321
151,-23.048928094234533
152,-19.916877341091038
153,-24.710640955448095
154,-24.3383759640517
155,-24.035151420127583
156,-23.51663251013705
157,-21.459226680784962
158,-21.62887208910628
159,-20.75116261907504
160,-21.999096975426138
161,-21.90890814033601
162,-21.923076887245337
163,-21.081156545045427
164,-22.97672289681133
165,-24.635010387122204
166,-19.61969046912415
167,-19.788993017302072
168,-23.211553159628913
169,-22.01779904322396
170,-20.171110746625086
171,-23.460968718494083
172,-23.55813487881094
173,-19.256802151798748
174,-21.658261198119327
175,-21.855329359156936
176,-21.085294645189443
177,-21.387588924206224
178,-21.688870604764343
179,-24.299095005715138
180,-22.833566144359768
181,-23.128324558517747
182,-25.160071480670368
183,-21.724098819959316
