tr,rms_db
0,-24.790925260368148
1,-20.327289743800723
2,-19.004103132502646
3,-19.692918205181922
4,-20.437346121479372
5,-18.158064656464774
6,-16.76824486338078
7,-17.478916520252476
8,-19.801325045987923
9,-19.926349301568113
10,-22.142620830921928
11,-21.218473556943472
12,-19.122500312170523
13,-20.516928717572966
14,-20.325421426974756
15,-18.754908725158693
16,-18.83525548595282
17,-18.883049486900962
18,-17.573857344510763
19,-18.203480422900203
20,-19.03403835294891
21,-18.125307058980816
22,-18.606184932882137
23,-18.29000498176039
24,-17.183701253940153
25,-19.672714230568996
26,-18.258534292506155
27,-19.035068058473733
28,-20.619162224576936
29,-19.168590959236994
30,-17.780577178119984
31,-19.13224811308313
32,-18.972055437308924
33,-19.186835386276652
34,-18.4458555647016
35,-19.26286450005125
36,-21.242007307496976
37,-19.42149900641102
38,-23.202100123545442
39,-24.33311844308509
40,-17.836561792729825
41,-18.46907440739237
42,-19.961700815467147
43,-17.64946177286117
44,-17.762068193219626
45,-19.271207019061038
46,-18.34558584051366
47,-18.11832700614607
48,-17.71064416140248
49,-19.256724082334994
50,-18.394273622647034
51,-18.312231815054012
52,-18.53098863839499
53,-20.230270393114118
54,-19.84514176368436
55,-19.448757957842243
56,-20.647377788601737
57,-21.05007554021023
58,-18.814033434572064
59,-18.981373068717875
60,-22.400453779384666
61,-18.157016281543438
62,-18.63612628387318
63,-19.236417382847016
64,-18.118736852351137
65,-17.738900670131464
66,-19.450877257348218
67,-19.35271395330416
68,-18.19770424147411
69,-19.034011665236267
70,-21.147391843570556
71,-20.445540404719978
72,-18.55080073528037
73,-18.35893098524401
74,-19.072358958566824
75,-18.93855393835551
76,-19.50128345731567
77,-19.70216691788842
78,-17.83168880860878
79,-21.722044481326183
80,-19.85186626909971
81,-21.258124126365065
82,-19.65802544942459
83,-19.414777392791372
84,-24.97790029693689
85,-22.98025147473682
86,-19.48072771166476
87,-21.09400134537607
88,-20.63815171499238
89,-19.060451601403063
90,-18.177785117012032
91,-21.250418469792315
92,-23.57099419098698
93,-22.578662866278066
94,-19.898660924447693
95,-18.41135608322328
96,-22.207484926043882
97,-29.67330946070569
98,-19.10398424783589
99,-19.452903700613945
100,-22.536245830026814
101,-28.258176338856373
102,-22.012158227736126
103,-26.462396525954755
104,-21.200283285295164
105,-19.510347331212586
106,-18.891839969966373
107,-18.44408288399961
108,-20.890570513368015
109,-21.430259195577072
110,-20.92175972641046
111,-21.615058650891015
112,-18.659919232900904
113,-20.04292365591923
114,-20.09064392624208
115,-19.609878417047742
116,-18.54414523984984
117,-21.91144485214553
118,-32.04647993433215
119,-25.659106541662364
120,-18.479975751923646
121,-21.916399471944814
122,-20.11494100455959
123,-20.149410059839564
124,-20.99817967300141
125,-20.259478343168567
126,-19.228108874526676
127,-22.737340713161252
128,-18.42673391567408
129,-17.976543586110058
130,-20.769349430040243
131,-21.475025936314935
132,-18.357524220342995
133,-20.6012217276201
134,-23.12107057138039
135,-22.31862239824381
136,-22.51234569721245
137,-21.422493044301415
138,-20.993637451612823
139,-20.390903423210776
140,-19.877139869910827
141,-20.72636881880383
142,-37.09273826302049
143,-21.684592457277812
144,-20.371113252345346
145,-21.004333214293844
146,-18.943285184243752
147,-19.743140768645617
148,-20.55127472569234
149,-21.773366069336618
150,-20.14105654905313
151,-22.42427940453033
152,-22.001029738282853
153,-21.118411999828872
154,-22.589213552763603
155,-18.708891603297676
156,-20.84647252476855
157,-21.336410328358877
158,-19.28572009924454
159,-20.571462406871692
160,-20.87972356155762
161,-18.761538568591405
162,-20.505899085182755
163,-20.94208172358663
164,-19.645406685950153
165,-21.468261487655425
166,-20.742264694889357
167,-19.238045684517562
168,-19.69919324614918
169,-20.120500756606678
170,-19.843584316302522
171,-20.01713774303333
172,-19.232905377420646
173,-18.77355865258393
174,-19.775405949746762
