tr,rms_db
0,-120.89771500367812
1,-22.74679305885639
2,-21.559923303932003
3,-24.574274698967557
4,-20.81655868779142
5,-28.078748314381684
6,-26.40117482150628
7,-21.577614621916545
8,-26.882635287372647
9,-22.932550715814017
10,-23.92714203543239
11,-21.565873545605626
12,-21.82593345578435
13,-23.478615982386035
14,-23.144931301619312
15,-21.47909139148218
16,-25.520085809318825
17,-23.334949648911945
18,-26.326103299388475
19,-24.957665658983696
20,-28.072674498022874
21,-24.271661843692893
22,-20.651824907049377
23,-21.21802363776603
24,-21.973512222424088
25,-21.41753175575936
26,-20.678030708007064
27,-23.894873479938084
28,-22.496318925760328
29,-21.3786022877077
30,-23.845408081421077
31,-22.008811739155266
32,-20.73348904709043
33,-21.917076791750794
34,-22.968955559142223
35,-21.32171704464986
36,-26.944652544620077
37,-20.889912030370237
38,-23.807766344798384
39,-26.387429541261316
40,-24.36543992305797
41,-23.52080493658134
42,-22.998415509286502
43,-23.5703600424391
44,-24.22686295586712
45,-26.470727123704435
46,-22.0984703760057
47,-23.15587814097368
48,-21.777270817240712
49,-25.582502774850262
50,-28.79288040388639
51,-29.1705324977493
52,-25.226322991029406
53,-24.50043947371597
54,-20.567063381164445
55,-24.180995360792522
56,-23.39460928258675
57,-23.94190055334679
58,-23.43405129057979
59,-21.721902750601867
60,-23.898728054942215
61,-22.87553115632416
62,-21.106487517330315
63,-26.895698734953783
64,-21.859058167221598
65,-25.654949362472944
66,-22.787621634054304
67,-25.69049909915808
68,-20.63714301628022
69,-21.418864569530616
70,-22.04875739219744
71,-21.28580859343424
72,-18.785845459891483
73,-24.27405728706359
74,-180.0
75,-180.0
76,-180.0
77,-36.944190806550196
78,-22.852478334302635
79,-23.839409560304816
80,-20.21530776655874
81,-21.586985819465
82,-19.54559094959004
83,-21.128807437509366
84,-18.993852201616054
85,-28.247120276459977
86,-22.18390397562418
87,-21.36311474321332
88,-20.530461361016073
89,-19.65525362690255
90,-27.18811978215344
91,-21.599303886055043
92,-23.595041042474133
