tr,rms_db
0,-43.230786482844834
1,-19.696563842968022
2,-22.77329358294944
3,-22.374990177494183
4,-29.404824015167385
5,-22.115613484273148
6,-21.930526383038057
7,-24.89023366197007
8,-36.63221069366445
9,-26.10087140698385
10,-33.6524787696738
11,-22.746657864024474
12,-24.07261461152215
13,-29.99576229072348
14,-21.47547019629194
15,-22.186293724966642
16,-24.920020852301036
17,-21.63992141245771
18,-20.554770501125997
19,-24.13716351914452
20,-21.89470064336887
21,-28.037541247883805
22,-24.097602307519466
23,-23.917743348082375
24,-21.475140123234983
25,-21.723354961839426
26,-19.577914225187417
27,-19.789405891522765
28,-21.011366530153733
29,-23.044450360471522
30,-22.236192965516498
31,-24.61779066164903
32,-21.389199546813785
33,-21.66683279466824
34,-19.605911283359255
35,-19.783567153151708
36,-21.345418492944116
37,-16.30352134033353
38,-20.95612685678082
39,-19.973170825986333
40,-17.70150275289004
41,-18.348513025060104
42,-21.53226453236837
43,-21.958466845571976
44,-17.102317267600256
45,-21.50084597541504
46,-18.822304746164367
47,-20.59445972320358
48,-18.867253513013594
49,-19.035299965682412
50,-19.54918744249842
51,-19.742967628119985
52,-20.15146512794107
53,-22.059546282591658
54,-18.6456839747525
55,-17.903835112808917
56,-18.669118012653986
57,-18.24519796839985
58,-18.33693657149518
59,-19.082348098868607
60,-19.327730246560137
61,-20.131721887441607
62,-19.65058046075913
63,-19.753714458532045
64,-20.493076775133968
65,-18.53883489557734
66,-18.918121360293767
67,-20.831817937291163
68,-22.084670814926284
69,-25.7820607780392
70,-24.38944701119278
71,-25.425505790384765
72,-29.392072438061554
73,-27.843642207567694
74,-31.314598330472077
75,-23.00931830661738
76,-26.65893016618138
77,-21.38326161046082
78,-31.834456686882366
79,-29.792546728990207
80,-30.313677829907334
81,-22.007898759432514
82,-26.096691945681187
83,-28.71886331140892
84,-25.577125394220115
85,-22.354881881242427
86,-26.534045676358847
87,-21.45644340572599
88,-21.630413827942515
89,-20.95878797723295
90,-22.544421365682815
91,-20.694151745447435
92,-20.668904411286615
93,-21.762707797757848
94,-18.655695378001724
95,-24.236973857082432
96,-21.556078582810272
97,-22.13845039565548
98,-21.875896195923307
99,-24.02282305570136
100,-23.35735240886826
101,-21.61969106193378
102,-28.184544147567628
103,-23.809230232387314
104,-23.428927401926213
105,-21.618827848687957
106,-23.405152174586327
107,-22.120880293002834
108,-20.359828022672662
109,-23.436080971720056
110,-26.1550310930524
111,-22.69058984548905
112,-23.184211808354412
113,-25.643041492537478
114,-22.452406054192572
115,-23.11892685553353
116,-26.651573583935516
117,-23.83015114120207
118,-22.55950488652783
119,-21.647655183935864
120,-19.37377171895252
121,-24.79427894408012
122,-29.071312169984974
123,-25.58278902572787
124,-25.56452118537013
125,-29.65215271789855
126,-29.199332941847395
127,-21.508687069858524
128,-21.638940252241945
129,-27.31854017453926
130,-22.223984386799792
131,-23.0412143892231
132,-29.601750621066675
133,-22.432686281912872
134,-22.402637170413485
135,-24.103285131824226
136,-28.94698601774506
137,-24.197005461541945
138,-22.34283545889829
139,-21.413927851252687
140,-19.27065375208022
141,-23.281522814751096
142,-26.728216016655885
143,-28.44163523033142
144,-25.265382413793848
145,-22.51328954582775
146,-23.861392079561252
147,-23.6735758336711
148,-25.12676423327428
149,-23.292850090538195
150,-22.28548710774518
151,-24.33764262018604
152,-24.866565921029945
153,-22.348351955859073
154,-40.252488262792916
155,-20.851996582556307
156,-30.85103522824332
157,-20.94157507112117
158,-21.679016197649986
159,-22.370385117249832
160,-19.083949449769484
161,-23.068059468413118
162,-24.74651203298899
163,-23.203769095697137
164,-21.913966632912928
165,-21.357002964060005
166,-20.688576906120687
167,-19.399455759609626
168,-21.28767307541033
169,-22.50336535493532
170,-22.507689431042643
171,-21.93457557524036
172,-22.644380828790922
173,-21.969554443485826
174,-25.804065865358773
175,-20.336120236308215
176,-28.75514803949376
177,-44.87968188650348
178,-42.67355723212526
179,-29.570819435311485
180,-23.291052825478992
181,-21.40155188454002
182,-20.060799480578254
183,-23.080056408367433
184,-25.694535700622744
185,-22.042802700605293
186,-26.772662862878732
187,-37.73362187543168
188,-22.840622497843036
189,-20.411022933824636
190,-21.225614566443852
191,-23.053659987128718
192,-23.805672238269544
193,-22.040109053611236
194,-21.245517307156682
195,-21.967297523622058
196,-22.784534608736426
197,-24.59973097740513
198,-22.859209534822856
199,-21.16185679038537
200,-23.233450854232643
201,-19.061299380519113
202,-21.035174177639817
203,-24.652837950814842
204,-20.740903970420263
205,-22.18917016896796
206,-22.21026881489344
207,-26.254232912289147
208,-24.789767008353294
209,-22.28694296567623
210,-24.735208383792656
211,-23.688886393971956
212,-21.48091405641341
213,-23.79838270543995
214,-20.78767408888238
215,-32.583017113461835
216,-22.92243020222464
217,-21.84608001934668
