tr,rms_db
0,-126.36107303682195
1,-23.499118203165036
2,-20.773055983909202
3,-25.976859068015266
4,-23.271464691733858
5,-22.556908408074264
6,-28.829338312917685
7,-21.311721872455003
8,-21.597888901462525
9,-17.99719919513732
10,-23.38470575064287
11,-24.878940764678276
12,-21.279604523970516
13,-23.57989847852545
14,-22.742118329176254
15,-18.56154250900971
16,-22.032768399262416
17,-22.580154388104173
18,-23.913780229209543
19,-19.78437676213163
20,-17.668576014707682
21,-21.121256449060976
22,-22.021894056717237
23,-22.139973401181074
24,-22.17083639388403
25,-18.890639032918873
26,-19.171869366583817
27,-22.050965291583253
28,-20.570088120523657
29,-19.15999937878081
30,-20.079907945555732
31,-21.753215796522
32,-21.514623099029976
33,-19.08090004652208
34,-19.219773767169343
35,-17.824559877972675
36,-19.99080777941264
37,-22.285343779859964
38,-20.02913602967181
39,-21.587516309682712
40,-37.903944025000854
41,-18.61145497954419
42,-17.92161362650853
43,-18.254021994167182
44,-16.571891603649178
45,-22.129519664248647
46,-180.0
47,-180.0
48,-180.0
49,-24.037001490691644
50,-21.036165847329016
51,-21.462299429522226
52,-24.337220746732275
53,-24.700811479211353
54,-24.572575959136778
55,-20.93528898028271
56,-22.0173090417738
57,-26.18304198730484
58,-25.229700919930256
59,-22.047424756616493
60,-29.420886744899377
61,-26.253848318006714
62,-22.645708639875316
63,-26.42188523360547
64,-18.724066291806015
65,-22.218317776792148
66,-18.432261088160455
67,-22.343947329807897
68,-18.224971995864706
69,-21.955719518554755
70,-23.19680540052356
71,-20.07914192108011
72,-22.001423850049058
73,-22.69840459518681
74,-21.551788940776632
75,-22.934856815886825
76,-22.059278817332796
77,-21.680817722527152
78,-27.866674814882423
79,-22.087104096964293
80,-18.36705060739214
81,-20.19058940617012
82,-22.795327007177466
83,-22.067361201876356
84,-22.169139656268023
85,-23.117354581664248
86,-20.011049573697694
87,-22.61329989976999
88,-21.439724554846084
89,-20.352920642756466
90,-18.05690131933862
91,-20.145363300277204
92,-19.336294760830953
93,-23.474932450373025
94,-28.260321313477764
95,-21.70478867348997
96,-26.962832376885636
97,-22.554173857400343
98,-21.887776527792113
99,-22.974317512218136
100,-22.033075561744752
101,-21.78196228146514
102,-20.907453710857773
103,-22.204107749743777
104,-22.251043718889022
105,-23.28212890366141
106,-22.371928761063845
107,-18.92266480863715
108,-23.017200697620854
109,-18.627453933594662
110,-20.797307625584324
111,-23.930998554399423
112,-24.367333397356052
113,-21.919366833362922
114,-22.01178867118901
115,-21.026296409154313
116,-21.412826841691622
117,-20.603739536259496
118,-17.913229916845125
119,-21.053035260995227
120,-19.549711247598136
121,-20.260709691239533
122,-21.79000339394114
123,-23.612182883680926
124,-23.98718570992918
125,-20.043601565551967
126,-22.509885769145477
127,-18.592696524164086
128,-21.179231776230555
129,-23.36379698984503
130,-22.159373646061002
131,-23.484240269857647
132,-22.62796623116195
133,-22.681636320358038
134,-23.652632903139118
135,-19.98720272815626
136,-21.492658785352063
137,-21.358227165707717
138,-25.581223107237957
139,-22.44222861975468
140,-23.145765252132243
141,-19.117628969234673
142,-21.835518715687048
143,-23.11167637362404
144,-17.165983287657728
145,-24.803806441910538
146,-21.217413937409205
147,-21.82560220769625
148,-20.491194409568408
149,-21.56868662894018
150,-21.727790531234724
151,-26.628166453853233
152,-35.63816705138359
153,-29.516059601240386
154,-21.912962761393203
155,-19.717837338103767
156,-26.630074239093933
157,-32.94126949533781
158,-18.97576692046845
159,-18.438407049757412
160,-22.216142488750066
161,-20.92679098512939
162,-23.67982715785882
163,-25.59128167039684
164,-21.036426473311835
165,-25.06533738796461
166,-17.834900167971234
167,-22.21420705869685
168,-21.27218373083138
169,-21.878294622088497
170,-22.540485104249797
171,-20.632935910461274
172,-20.921348531061078
173,-24.932639610692398
174,-22.718221025856295
175,-19.13307082108546
176,-19.48065827715964
177,-23.843140024888704
178,-21.04254894001642
179,-20.57171912073393
180,-20.366122768883606
181,-21.505320395616994
182,-23.75290296077623
183,-22.413109507092543
184,-27.406557428342687
185,-27.99291918119134
186,-19.846862768814994
187,-27.212658204301565
188,-21.766909644608425
189,-19.519223288513324
190,-21.755867316325922
191,-25.899183770106816
192,-24.60692026628565
193,-25.196016037071402
194,-23.510030164346514
195,-23.86331954124244
196,-27.011576052087737
197,-19.034841012220877
198,-22.959506641982095
199,-23.671603661309526
200,-22.854616676660676
201,-23.48136438588938
202,-23.93873895291961
203,-23.884871630407684
204,-27.73385656761115
205,-31.47005691555316
206,-18.544835012681244
207,-22.257017741155998
208,-20.949957133841096
209,-22.789990978027838
210,-19.133954451049963
211,-26.165290301656533
212,-26.188845525261655
213,-26.559955511168898
214,-22.450953682718303
215,-36.67838063546044
216,-21.401222911758637
217,-16.42274881448865
218,-20.247245346906663
219,-21.436250903308945
220,-20.976406592371333
221,-22.605736341199027
222,-20.871168901189648
223,-21.65558205415115
224,-21.692642967716402
225,-19.303310316422493
226,-19.21823980226665
227,-19.99307044933586
228,-21.560682483374663
229,-21.91448827223722
230,-21.349616820904483
231,-20.548484434791618
232,-21.188694038608155
233,-21.25168672936691
234,-21.590165833423534
235,-22.317454901171295
236,-19.08878711043392
237,-20.219618039628738
238,-18.944309098488258
239,-19.79885000455518
240,-19.521865700553192
241,-20.400824806025998
242,-21.14742615999228
243,-17.544031117572704
244,-22.45113276249411
245,-21.19825039475835
246,-23.896535063994243
247,-18.853674106377795
248,-18.768786866890036
249,-20.25457383699486
250,-21.29356579154376
251,-20.915555100656725
252,-20.22461889684851
253,-20.30610720922697
254,-23.068624643984453
255,-20.571403124148652
256,-18.530756275919376
257,-18.955875879119
258,-21.96892345520405
259,-29.54280620756083
260,-21.31760602260257
261,-23.781390898110573
262,-20.862119515728264
263,-20.567542765332828
264,-16.605194131807252
265,-17.507944325961194
266,-22.89228312392694
267,-20.48611950930413
268,-21.95541102794526
269,-20.474984494770506
270,-20.54266300350595
