tr,vis_energy
0,8.158998489379883
1,18.384187698364258
2,8.460213661193848
3,10.66037368774414
4,5.051070690155029
5,2.7225115299224854
6,3.6185617446899414
7,3.8260269165039062
8,1.5850695371627808
9,10.519820213317871
10,12.702980041503906
11,4.252748966217041
12,11.463366508483887
13,5.475983142852783
14,4.602068901062012
15,14.77249813079834
16,21.854528427124023
17,18.928024291992188
18,6.326895236968994
19,4.3736252784729
20,8.052155494689941
21,4.864438533782959
22,5.392795562744141
23,15.04788875579834
24,18.596860885620117
25,16.70464515686035
26,27.91015625
27,17.281757354736328
28,3.203486680984497
29,12.909504890441895
30,7.767650127410889
31,4.5213398933410645
32,3.5475261211395264
33,5.749204635620117
34,10.579354286193848
35,8.579644203186035
36,36.94892883300781
37,18.13463592529297
38,17.449434280395508
39,16.6796875
40,9.162615776062012
41,1.7523149251937866
42,1.9792391061782837
43,1.6546586751937866
44,1.9189815521240234
45,8.833983421325684
46,19.970487594604492
47,13.925637245178223
48,12.201534271240234
49,18.48784828186035
50,4.6333184242248535
51,24.2828426361084
52,29.176721572875977
53,17.385272979736328
54,8.407551765441895
55,2.93916392326355
56,5.566478729248047
57,24.1331729888916
58,11.42180347442627
59,8.001301765441895
60,14.237918853759766
61,10.800491333007812
62,7.247135162353516
63,6.532118320465088
64,12.943215370178223
65,10.67795181274414
66,3.786313772201538
67,1.8782552480697632
68,8.596137046813965
69,3.3156826496124268
70,6.369357585906982
71,12.662543296813965
72,13.581597328186035
73,23.327835083007812
74,23.487051010131836
75,28.62044334411621
76,11.051287651062012
77,7.37644624710083
78,5.450448513031006
79,21.010995864868164
80,26.534719467163086
81,17.551576614379883
82,17.1793270111084
83,10.652778625488281
84,7.773509979248047
85,9.593677520751953
86,26.44878387451172
87,18.010156631469727
88,19.13237953186035
89,11.524523735046387
90,7.457393169403076
91,11.188946723937988
92,23.265625
93,22.8753604888916
94,25.002607345581055
95,6.9897284507751465
96,19.93077278137207
97,27.835866928100586
98,34.77495574951172
99,41.76945877075195
100,19.445817947387695
101,9.458622932434082
102,3.5395686626434326
103,1.4311342239379883
104,9.01063346862793
105,6.25
106,11.55251693725586
107,7.519169330596924
108,4.152126789093018
109,5.626880645751953
110,4.140263080596924
111,6.218460559844971
112,6.093229293823242
113,2.6528501510620117
114,1.8532263040542603
115,9.693938255310059
116,1.312717080116272
117,1.095847725868225
118,15.884620666503906
119,6.676215648651123
120,23.393808364868164
121,23.8343448638916
122,26.705657958984375
123,13.659794807434082
124,8.035228729248047
125,1.9063223600387573
126,0.7271412014961243
127,3.7630932331085205
128,16.066551208496094
129,26.302228927612305
130,21.0511417388916
131,20.541160583496094
132,2.896846055984497
133,3.468315839767456
134,8.837890625
135,21.214191436767578
136,4.725188732147217
137,3.418315887451172
138,8.619502067565918
139,0.9824941754341125
140,3.666883707046509
141,8.190827369689941
142,14.123915672302246
143,10.158998489379883
144,7.1509690284729
145,14.618489265441895
146,10.123408317565918
147,5.396773815155029
148,9.050202369689941
149,13.328269958496094
150,8.745659828186035
151,1.8569154739379883
152,1.5463685989379883
153,1.5613425970077515
154,1.3717447519302368
155,2.1348378658294678
156,1.2223669290542603
157,7.14612340927124
158,6.316261291503906
159,7.357855319976807
160,6.411674976348877
161,7.198929309844971
162,2.848177194595337
163,10.2687349319458
164,6.383752822875977
165,4.025101184844971
166,20.92643165588379
167,12.886067390441895
168,16.06141471862793
169,9.323568344116211
170,18.88237762451172
171,4.172887802124023
172,10.483144760131836
173,21.30902671813965
174,4.155815601348877
175,10.551865577697754
176,24.768808364868164
177,27.938657760620117
178,10.094400405883789
179,5.4741034507751465
180,2.8818721771240234
181,1.7092013359069824
182,9.995514869689941
183,1.6304978132247925
184,2.4171009063720703
185,3.2306859493255615
186,2.6963250637054443
187,1.880902886390686
188,10.0656099319458
189,2.298032283782959
190,6.312934398651123
191,1.5085358619689941
192,1.4184027910232544
193,2.7767651081085205
194,12.157261848449707
195,3.7048614025115967
196,4.736400127410889
197,4.704571723937988
198,3.856336832046509
199,13.229456901550293
200,15.338470458984375
201,5.821470260620117
202,8.014540672302246
203,5.05519437789917
204,11.28812313079834
205,13.187644958496094
206,3.108289957046509
207,9.079282760620117
208,7.502387523651123
209,28.525390625
210,24.37898063659668
211,6.9517502784729
212,4.730642795562744
213,5.397569179534912
214,4.5078125
215,1.9777922630310059
216,2.40849232673645
217,8.456452369689941
218,7.011501789093018
219,17.566408157348633
220,4.4994940757751465
221,11.655598640441895
222,10.701895713806152
223,13.996672630310059
224,14.368199348449707
225,5.233579158782959
226,4.150607585906982
227,5.882884979248047
228,5.56727409362793
229,4.919198513031006
230,2.91044545173645
231,2.5525898933410645
232,2.466796875
233,3.206235647201538
234,2.559751272201538
235,10.097583770751953
236,13.466434478759766
237,21.56380271911621
238,5.029658794403076
239,4.442129611968994
240,13.529369354248047
241,11.996672630310059
242,5.598669052124023
243,3.1228301525115967
244,4.473524570465088
245,12.416884422302246
246,6.681133270263672
247,10.18952465057373
248,2.508970022201538
249,9.5714693069458
250,4.141058921813965
251,6.344618320465088
252,26.571327209472656
253,12.24906063079834
254,11.856120109558105
255,9.250795364379883
256,10.024739265441895
257,5.490451335906982
258,7.836371898651123
259,1.94082772731781
260,5.561559677124023
261,2.122178792953491
262,2.690538167953491
263,11.347801208496094
264,9.704716682434082
265,15.061199188232422
266,11.752676963806152
267,12.918330192565918
268,10.317996978759766
269,4.920934677124023
270,27.29839515686035
271,18.170862197875977
272,7.06640625
273,4.1248555183410645
274,12.622397422790527
275,8.697844505310059
276,7.705295562744141
277,8.957754135131836
278,7.84657096862793
279,13.310040473937988
280,1.4965277910232544
281,14.29000186920166
282,18.601850509643555
283,6.212673187255859
284,7.4145684242248535
