tr,vis_energy
0,6.873481273651123
1,3.568359375
2,3.312427520751953
3,2.883174180984497
4,1.9580440521240234
5,1.7816840410232544
6,0.8493199348449707
7,1.6320167779922485
8,1.8073638677597046
9,5.748264312744141
10,15.642577171325684
11,14.777706146240234
12,15.073522567749023
13,22.542823791503906
14,22.120080947875977
15,11.251229286193848
16,8.547525405883789
17,2.4916088581085205
18,16.520326614379883
19,12.7507963180542
20,10.065682411193848
21,9.109086036682129
22,1.7328557968139648
23,3.3603878021240234
24,5.358072757720947
25,11.266709327697754
26,13.104744911193848
27,8.043330192565918
28,10.486472129821777
29,1.5352286100387573
30,13.077618598937988
31,9.878617286682129
32,4.914351940155029
33,4.4256367683410645
34,8.278428077697754
35,7.843026638031006
36,7.864294052124023
37,14.582812309265137
38,23.385923385620117
39,19.918981552124023
40,11.054759979248047
41,12.217808723449707
42,4.244502544403076
43,13.5421724319458
44,10.312427520751953
45,12.2371244430542
46,9.085503578186035
47,7.86241340637207
48,4.948784828186035
49,10.0929536819458
50,7.817201614379883
51,3.923394203186035
52,15.958477020263672
53,6.744358062744141
54,15.74001693725586
55,7.654731750488281
56,6.087095260620117
57,1.4365596771240234
58,11.205584526062012
59,11.020833015441895
60,30.099538803100586
61,23.501588821411133
62,9.797048568725586
63,2.812934160232544
64,20.80034828186035
65,19.632307052612305
66,16.3746395111084
67,11.866463661193848
68,4.456235408782959
69,5.358651638031006
70,6.64503812789917
71,14.280526161193848
72,19.896772384643555
73,6.899305820465088
74,4.009476184844971
75,4.442057132720947
76,10.058738708496094
77,11.44921875
78,4.179759502410889
79,3.090639352798462
80,5.538773059844971
81,5.078920841217041
82,3.4602863788604736
83,8.604239463806152
84,4.2662034034729
85,2.77510142326355
86,16.01801109313965
87,5.86024284362793
88,13.686413764953613
89,9.698423385620117
90,21.96592903137207
91,19.872976303100586
92,7.5747246742248535
93,14.911025047302246
94,12.569877624511719
95,7.695746898651123
96,15.062716484069824
97,7.012587070465088
98,8.033347129821777
99,14.446686744689941
100,14.857638359069824
101,6.883029937744141
102,20.544416427612305
103,18.484375
104,14.49978256225586
105,6.698278427124023
106,7.9232497215271
107,13.7078275680542
108,8.279441833496094
109,8.734808921813965
110,7.280888080596924
111,1.1112557649612427
112,2.2642362117767334
113,1.7766205072402954
114,7.055844783782959
115,0.8059172630310059
116,1.3621238470077515
117,1.7862414121627808
118,1.689597725868225
119,4.979455947875977
120,2.493778944015503
121,7.348741054534912
122,1.5332756042480469
123,1.4573930501937866
124,1.7074651718139648
125,7.117404937744141
126,3.072265625
127,2.0388455390930176
128,3.6645686626434326
129,4.883680820465088
130,7.4217305183410645
131,1.7588974237442017
132,6.197482585906982
133,2.3501880168914795
134,6.543330669403076
135,1.7146267890930176
136,3.185980796813965
137,1.4318575859069824
138,0.8961226940155029
139,0.8361545205116272
140,0.8271122574806213
141,5.6802659034729
142,2.928168535232544
143,2.1767215728759766
144,1.8794126510620117
145,1.4359086751937866
146,2.6302807331085205
147,6.450882434844971
148,3.295356035232544
149,10.361834526062012
150,0.9816985130310059
151,0.6762152314186096
152,2.5475261211395264
153,7.90125846862793
154,3.415581703186035
155,2.3927953243255615
156,1.5232926607131958
157,7.01453971862793
158,0.9296875
159,1.6975549459457397
160,6.663700580596924
161,2.1696324348449707
162,1.874565839767456
163,1.3091000318527222
164,2.91044545173645
165,1.5817419290542603
166,2.4649159908294678
167,8.198205947875977
168,8.253761291503906
169,3.5442707538604736
170,3.775028944015503
171,7.957683086395264
172,2.011357069015503
173,2.1782407760620117
174,5.447048664093018
175,6.696035861968994
176,1.0739294290542603
177,1.8026620149612427
178,7.5641632080078125
179,8.513382911682129
180,1.5483942031860352
181,3.1939382553100586
182,3.3876590728759766
183,5.784939289093018
184,13.753182411193848
185,0.8046150803565979
186,8.375288963317871
187,13.151649475097656
188,14.488353729248047
189,12.109954833984375
190,8.04405403137207
191,19.04427146911621
192,25.768373489379883
193,12.372540473937988
194,18.960214614868164
195,7.749782562255859
196,8.942130088806152
197,20.065393447875977
198,19.3238582611084
199,22.73003387451172
200,8.824796676635742
201,15.85445785522461
202,8.842520713806152
203,7.7653350830078125
204,7.545645236968994
205,11.303385734558105
206,11.841796875
207,5.568431854248047
208,11.251591682434082
209,10.897568702697754
210,9.614583015441895
211,29.36284828186035
212,16.780380249023438
213,22.881582260131836
214,6.43395471572876
215,22.103586196899414
216,18.393373489379883
217,11.807219505310059
218,14.340278625488281
219,5.301360130310059
220,13.484519958496094
221,4.867476940155029
222,7.332393169403076
223,12.90993881225586
224,11.120514869689941
