[05:40:28] === voxelwise GLM run start ===
[05:40:28] First-level: 278 episodes × up to 4 subjects
[05:40:28] Building brain mask from reference BOLD ...
[05:40:41]   mask saved: 223637 voxels
[07:18:07]   sub-05 s02e08b: beta saved (223637 vox, 458 TRs)
[07:18:34]   sub-01 s02e09a: beta saved (223637 vox, 452 TRs)
[07:18:52]   sub-02 s02e09a: beta saved (223637 vox, 452 TRs)
[07:19:10]   sub-03 s02e09a: beta saved (223637 vox, 452 TRs)
[07:19:28]   sub-05 s02e09a: beta saved (223637 vox, 452 TRs)
[07:19:56]   sub-01 s02e09b: beta saved (223637 vox, 452 TRs)
[07:20:14]   sub-02 s02e09b: beta saved (223637 vox, 452 TRs)
[07:20:33]   sub-03 s02e09b: beta saved (223637 vox, 452 TRs)
[07:20:52]   sub-05 s02e09b: beta saved (223637 vox, 452 TRs)
[07:21:21]   sub-01 s02e10a: beta saved (223637 vox, 479 TRs)
[07:21:40]   sub-02 s02e10a: beta saved (223637 vox, 479 TRs)
[07:21:59]   sub-03 s02e10a: beta saved (223637 vox, 479 TRs)
[07:22:19]   sub-05 s02e10a: beta saved (223637 vox, 479 TRs)
[07:22:48]   sub-01 s02e10b: beta saved (223637 vox, 479 TRs)
[07:23:09]   sub-02 s02e10b: beta saved (223637 vox, 479 TRs)
[07:39:23]   sub-03 s02e10b: beta saved (223637 vox, 479 TRs)
[07:39:43]   sub-05 s02e10b: beta saved (223637 vox, 479 TRs)
[07:55:50]   sub-01 s02e11a: beta saved (223637 vox, 488 TRs)
[07:56:09]   sub-02 s02e11a: beta saved (223637 vox, 488 TRs)
[07:56:31]   sub-03 s02e11a: beta saved (223637 vox, 488 TRs)
[07:56:51]   sub-05 s02e11a: beta saved (223637 vox, 488 TRs)
[07:57:22]   sub-01 s02e11b: beta saved (223637 vox, 488 TRs)
[07:57:43]   sub-02 s02e11b: beta saved (223637 vox, 488 TRs)
[07:58:03]   sub-03 s02e11b: beta saved (223637 vox, 488 TRs)
[07:58:24]   sub-05 s02e11b: beta saved (223637 vox, 488 TRs)
[07:58:54]   sub-01 s02e12a: beta saved (223637 vox, 488 TRs)
[07:59:14]   sub-02 s02e12a: beta saved (223637 vox, 488 TRs)
[07:59:35]   sub-03 s02e12a: beta saved (223637 vox, 488 TRs)
[07:59:56]   sub-05 s02e12a: beta saved (223637 vox, 488 TRs)
[08:00:29]   sub-01 s02e12b: beta saved (223637 vox, 488 TRs)
[08:00:50]   sub-02 s02e12b: beta saved (223637 vox, 488 TRs)
[08:01:11]   sub-03 s02e12b: beta saved (223637 vox, 488 TRs)
[08:01:32]   sub-05 s02e12b: beta saved (223637 vox, 488 TRs)
[08:02:03]   sub-01 s02e13a: beta saved (223637 vox, 488 TRs)
[08:02:23]   sub-02 s02e13a: beta saved (223637 vox, 488 TRs)
[08:02:44]   sub-03 s02e13a: beta saved (223637 vox, 488 TRs)
[08:03:05]   sub-05 s02e13a: beta saved (223637 vox, 488 TRs)
[08:03:38]   sub-01 s02e13b: beta saved (223637 vox, 488 TRs)
[08:03:57]   sub-02 s02e13b: beta saved (223637 vox, 488 TRs)
[08:04:17]   sub-03 s02e13b: beta saved (223637 vox, 488 TRs)
[08:04:37]   sub-05 s02e13b: beta saved (223637 vox, 488 TRs)
[08:05:06]   sub-01 s02e14a: beta saved (223637 vox, 474 TRs)
[08:05:24]   sub-02 s02e14a: beta saved (223637 vox, 474 TRs)
