episode,season,n_trs,n_rois,excluded,sub-01_valid_trs,sub-01_status,sub-02_valid_trs,sub-02_status,sub-03_valid_trs,sub-03_status,sub-05_valid_trs,sub-05_status
s03e23a,s03,470,1032,False,470,full,470,full,470,full,470,full
s03e23b,s03,470,1032,False,470,full,470,full,470,full,470,full
s03e24a,s03,454,1032,False,454,full,454,full,454,full,454,full
s03e24b,s03,454,1032,False,454,full,454,full,454,full,454,full
s03e25a,s03,479,1032,False,479,full,479,full,479,full,479,full
s03e25b,s03,479,1032,False,479,full,479,full,479,full,479,full
s04e01a,s04,468,1032,True,468,full,468,full,468,full,19,partial
s04e01b,s04,468,1032,True,468,full,468,full,468,full,32,partial
s04e02a,s04,478,1032,False,478,full,478,full,478,full,478,full
s04e02b,s04,478,1032,False,478,full,478,full,478,full,478,full
s04e03a,s04,445,1032,False,445,full,445,full,445,full,445,full
s04e03b,s04,445,1032,False,445,full,445,full,445,full,445,full
s04e04a,s04,453,1032,False,453,full,453,full,453,full,453,full
s04e04b,s04,453,1032,False,453,full,453,full,453,full,453,full
s04e05a,s04,471,1032,False,471,full,471,full,471,full,471,full
s04e05b,s04,471,1032,False,471,full,471,full,471,full,471,full
s04e06a,s04,465,1032,False,465,full,465,full,465,full,465,full
s04e06b,s04,465,1032,False,465,full,465,full,0,missing,465,full
s04e07a,s04,497,1032,False,497,full,497,full,497,full,497,full
s04e07b,s04,497,1032,False,497,full,497,full,497,full,497,full
s04e08a,s04,503,1032,False,503,full,503,full,503,full,503,full
s04e08b,s04,503,1032,False,503,full,503,full,503,full,503,full
s04e09a,s04,441,1032,False,441,full,441,full,441,full,441,full
s04e09b,s04,441,1032,False,441,full,441,full,441,full,441,full
s04e10a,s04,449,1032,False,449,full,449,full,449,full,449,full
s04e10b,s04,449,1032,False,449,full,449,full,449,full,449,full
s04e11a,s04,483,1032,False,483,full,483,full,483,full,483,full
s04e11b,s04,483,1032,False,483,full,483,full,483,full,483,full
s04e12a,s04,466,1032,False,466,full,466,full,466,full,466,full
s04e12b,s04,466,1032,False,466,full,466,full,466,full,466,full
s04e13a,s04,448,1032,True,448,full,448,full,448,full,448,full
s04e13b,s04,448,1032,True,448,full,448,full,448,full,192,partial
s04e14a,s04,447,1032,False,447,full,447,full,447,full,447,full
s04e14b,s04,447,1032,False,447,full,447,full,447,full,447,full
